default_skill,{0},{1},{2},{3},{4},{5},{6},{7}
default_hero_542_skill_1,100,0,1,100,11.4,0,0,0
default_hero_543_skill_1,100,0,1,100,11.4,0,0,0
default_hero_544_skill_1,100,0,0,0,0,0,0,0
default_hero_544_skill_2,100,0,47,100,15,0,0,0
default_hero_544_skill_3,100,0,462,0,150,0,0,0
default_hero_544_skill_4,100,50,0,2,0,0,0,0
default_hero_545_skill_1,100,0,0,0,0,0,0,0
default_hero_546_skill_1,100,0,0,0,0,0,0,0
default_hero_547_skill_1,100,0,0,0,0,0,0,0
default_hero_547_skill_2,100,0,44,100,12,0,0,0
default_hero_547_skill_3,100,0,422,0,115.5,0,0,0
default_hero_547_skill_4,100,50,0,2,0,0,0,0
default_hero_548_skill_1,100,0,0,0,0,0,0,0
default_hero_549_skill_1,100,0,0,0,0,0,0,0
default_hero_550_skill_1,100,0,0,0,0,0,0,0
default_hero_550_skill_2,100,0,42,100,9,0,0,0
default_hero_550_skill_3,100,0,415,0,90,0,0,0
default_hero_550_skill_4,100,50,0,2,0,0,0,0
default_hero_551_skill_1,100,0,0,0,0,0,0,0
default_hero_552_skill_1,100,0,0,0,0,0,0,0
default_hero_553_skill_1,100,0,0,0,0,0,0,0
default_hero_553_skill_2,100,0,342,100,15,0,0,0
default_hero_553_skill_3,100,0,1094,0,48,0,0,0
default_hero_553_skill_4,100,70,4272,0,30,0,0,0
default_hero_553_skill_5,100,40,684,2,30,0,0,0
default_hero_554_skill_1,100,0,0,0,0,0,0,0
default_hero_555_skill_1,100,0,0,0,0,0,0,0
default_hero_556_skill_1,100,0,0,0,0,0,0,0
default_hero_556_skill_2,100,0,325,100,12,0,0,0
default_hero_556_skill_3,100,0,1015,0,37.5,0,0,0
default_hero_556_skill_4,100,70,3845,0,27,0,0,0
default_hero_556_skill_5,100,40,650,2,24,0,0,0
default_hero_557_skill_1,100,0,0,0,0,0,0,0
default_hero_558_skill_1,100,0,0,0,0,0,0,0
default_hero_559_skill_1,100,0,0,0,0,0,0,0
default_hero_559_skill_2,100,0,339,100,9.9,0,0,0
default_hero_559_skill_3,100,0,1128,0,33,0,0,0
default_hero_559_skill_4,100,70,3845,0,27,0,0,0
default_hero_559_skill_5,100,40,616,2,18,0,0,0
default_hero_560_skill_1,100,0,0,0,0,0,0,0
default_hero_561_skill_1,100,0,0,0,0,0,0,0
default_hero_562_skill_1,100,0,0,0,0,0,0,0
default_hero_562_skill_2,100,0,342,100,15,0,0,0
default_hero_562_skill_3,100,0,1094,0,48,0,0,0
default_hero_562_skill_4,100,70,2052,2,90,0,0,0
default_hero_562_skill_5,100,40,684,2,30,0,0,0
default_hero_563_skill_1,100,0,0,0,0,0,0,0
default_hero_564_skill_1,100,0,0,0,0,0,0,0
default_hero_565_skill_1,100,0,0,0,0,0,0,0
default_hero_565_skill_2,100,0,325,100,12,0,0,0
default_hero_565_skill_3,100,0,1056,0,39,0,0,0
default_hero_565_skill_4,100,70,2030,2,75,0,0,0
default_hero_565_skill_5,100,40,650,2,24,0,0,0
default_hero_566_skill_1,100,0,0,0,0,0,0,0
default_hero_567_skill_1,100,0,0,0,0,0,0,0
default_hero_568_skill_1,100,0,0,0,0,0,0,0
default_hero_568_skill_2,100,0,339,100,9.9,0,0,0
default_hero_568_skill_3,100,0,1128,0,33,0,0,0
default_hero_568_skill_4,100,70,1949,2,57,0,0,0
default_hero_568_skill_5,100,40,4102,2,120,0,0,0
default_hero_569_skill_1,100,0,0,0,0,0,0,0
default_hero_570_skill_1,100,0,0,0,0,0,0,0
default_hero_571_skill_1,100,0,0,0,0,0,0,0
default_hero_571_skill_2,100,0,342,100,15,0,0,0
default_hero_571_skill_3,100,0,1881,0,82.5,0,0,0
default_hero_571_skill_4,100,70,0,2,0,0,0,0
default_hero_571_skill_5,100,40,342,2,15,0,0,0
default_hero_572_skill_1,100,0,0,0,0,0,0,0
default_hero_573_skill_1,100,0,0,0,0,0,0,0
default_hero_574_skill_1,100,0,0,0,0,0,0,0
default_hero_574_skill_2,100,0,325,100,12,0,0,0
default_hero_574_skill_3,100,0,1949,0,72,0,0,0
default_hero_574_skill_4,100,70,0,2,0,0,0,0
default_hero_574_skill_5,100,40,325,2,12,0,0,0
default_hero_575_skill_1,100,0,0,0,0,0,0,0
default_hero_576_skill_1,100,0,0,0,0,0,0,0
default_hero_577_skill_1,100,0,0,0,0,0,0,0
default_hero_577_skill_2,100,0,308,100,9,0,0,0
default_hero_577_skill_3,100,0,1949,0,57,0,0,0
default_hero_577_skill_4,100,70,0,2,0,0,0,0
default_hero_577_skill_5,100,40,308,2,9,0,0,0
default_hero_578_skill_1,100,0,0,0,0,0,0,0
default_hero_579_skill_1,100,0,0,0,0,0,0,0
default_hero_580_skill_1,100,0,0,0,0,0,0,0
default_hero_580_skill_2,100,0,342,100,15,0,0,0
default_hero_580_skill_3,100,0,0,1,0,0,0,0
default_hero_580_skill_4,100,70,684,3,60,0,0,0
default_hero_580_skill_5,100,50,2052,0,90,0,0,0
default_hero_580_skill_6,100,30,3248,0,142.5,0,0,0
default_hero_581_skill_1,100,0,0,0,0,0,0,0
default_hero_582_skill_1,100,0,0,0,0,0,0,0
default_hero_583_skill_1,100,0,0,0,0,0,0,0
default_hero_583_skill_2,100,0,325,100,12,0,0,0
default_hero_583_skill_3,100,0,0,1,0,0,0,0
default_hero_583_skill_4,100,70,641,3,60,0,0,0
default_hero_583_skill_5,100,50,1949,0,72,0,0,0
default_hero_583_skill_6,100,30,3248,0,120,0,0,0
default_hero_584_skill_1,100,0,0,0,0,0,0,0
default_hero_585_skill_1,100,0,0,0,0,0,0,0
default_hero_586_skill_1,100,0,0,0,0,0,0,0
default_hero_586_skill_2,100,0,324,100,9.45,0,0,0
default_hero_586_skill_3,100,0,0,1,0,0,0,0
default_hero_586_skill_4,100,70,648,3,900,0,0,0
default_hero_586_skill_5,100,50,2051,0,60,0,0,0
default_hero_586_skill_6,100,30,3384,0,99,0,0,0
default_hero_587_skill_1,100,0,0,0,0,0,0,0
default_hero_588_skill_1,100,0,0,0,0,0,0,0
default_hero_589_skill_1,100,0,0,0,0,0,0,0
default_hero_589_skill_2,100,0,325,100,14.25,0,0,0
default_hero_589_skill_3,100,0,223,3,9.75,0,0,0
default_hero_589_skill_4,100,70,0,2,0,0,0,0
default_hero_589_skill_5,100,50,0,2,0,0,0,0
default_hero_589_skill_6,100,30,3248,0,142.5,0,0,0
default_hero_590_skill_1,100,0,0,0,0,0,0,0
default_hero_591_skill_1,100,0,0,0,0,0,0,0
default_hero_592_skill_1,100,0,0,0,0,0,0,0
default_hero_592_skill_2,100,0,325,100,12,0,0,0
default_hero_592_skill_3,100,0,224,3,8.25,0,0,0
default_hero_592_skill_4,100,70,0,2,0,0,0,0
default_hero_592_skill_5,100,50,0,2,0,0,0,0
default_hero_592_skill_6,100,30,3167,0,117,0,0,0
default_hero_593_skill_1,100,0,0,0,0,0,0,0
default_hero_594_skill_1,100,0,0,0,0,0,0,0
default_hero_595_skill_1,100,0,0,0,0,0,0,0
default_hero_595_skill_2,100,0,324,100,9.45,0,0,0
default_hero_595_skill_3,100,0,206,3,6,0,0,0
default_hero_595_skill_4,100,70,0,2,0,0,0,0
default_hero_595_skill_5,100,50,0,2,0,0,0,0
default_hero_595_skill_6,100,30,3231,0,94.5,0,0,0
default_hero_596_skill_1,100,0,0,0,0,0,0,0
default_hero_597_skill_1,100,0,0,0,0,0,0,0
default_hero_598_skill_1,100,0,0,0,0,0,0,0
default_hero_598_skill_2,100,0,325,100,14.25,0,0,0
default_hero_598_skill_3,100,0,650,0,28.5,0,0,0
default_hero_598_skill_4,100,70,0,2,0,0,0,0
default_hero_598_skill_5,100,50,0,2,0,0,0,0
default_hero_598_skill_6,100,30,3248,0,142.5,0,0,0
default_hero_599_skill_1,100,0,0,0,0,0,0,0
default_hero_600_skill_1,100,0,0,0,0,0,0,0
default_hero_601_skill_1,100,0,0,0,0,0,0,0
default_hero_601_skill_2,100,0,325,100,12,0,0,0
default_hero_601_skill_3,100,0,650,0,24,0,0,0
default_hero_601_skill_4,100,70,0,2,0,0,0,0
default_hero_601_skill_5,100,50,0,2,0,0,0,0
default_hero_601_skill_6,100,30,3248,0,120,0,0,0
default_hero_602_skill_1,100,0,0,0,0,0,0,0
default_hero_603_skill_1,100,0,0,0,0,0,0,0
default_hero_604_skill_1,100,0,0,0,0,0,0,0
default_hero_604_skill_2,100,0,324,100,9.45,0,0,0
default_hero_604_skill_3,100,0,667,0,19.5,0,0,0
default_hero_604_skill_4,100,70,0,2,0,0,0,0
default_hero_604_skill_5,100,50,0,2,0,0,0,0
default_hero_604_skill_6,100,30,3231,0,94.5,0,0,0
default_hero_605_skill_1,100,0,0,0,0,0,0,0
default_hero_606_skill_1,100,0,0,0,0,0,0,0
default_hero_607_skill_1,100,0,0,0,0,0,0,0
default_hero_607_skill_2,100,0,216,100,9.45,0,0,0
default_hero_607_skill_3,100,0,650,0,28.5,0,0,0
default_hero_607_skill_4,100,70,684,0,30,171,2,15
default_hero_607_skill_5,100,50,684,0,30,171,2,7.5
default_hero_607_skill_6,100,30,3419,0,150,0,0,0
default_hero_608_skill_1,100,0,12,0,6,0,0,0
default_hero_609_skill_1,100,0,12,0,6,0,0,0
default_hero_610_skill_1,100,0,0,0,0,0,0,0
default_hero_610_skill_2,100,0,325,100,12,0,0,0
default_hero_610_skill_3,100,0,650,0,24,0,0,0
default_hero_610_skill_4,100,70,691,0,25.5,161,2,15
default_hero_610_skill_5,100,50,609,0,22.5,203,2,7.5
default_hero_610_skill_6,100,30,3248,0,120,0,0,0
default_hero_611_skill_1,100,0,12,0,6,0,0,0
default_hero_612_skill_1,100,0,12,0,6,0,0,0
default_hero_613_skill_1,100,0,0,0,0,0,0,0
default_hero_613_skill_2,100,0,324,100,9.45,0,0,0
default_hero_613_skill_3,100,0,667,0,19.5,0,0,0
default_hero_613_skill_4,100,70,667,0,19.5,173,2,240
default_hero_613_skill_5,100,50,667,0,19.5,206,2,6
default_hero_613_skill_6,100,30,3231,0,94.5,0,0,0
default_hero_614_skill_1,100,0,12,0,6,0,0,0
default_hero_615_skill_1,100,0,12,0,6,0,0,0
default_hero_616_skill_1,25,0,894,0,300,0,3,0
default_hero_617_skill_1,33,50,112,3,37.5,30,3,0
default_hero_618_skill_1,25,0,179,3,60,0,0,0
default_hero_619_skill_1,45,0,447,0,150,83,4,37.5
default_hero_620_skill_1,70,0,358,0,120,0,0,0
default_hero_621_skill_1,90,0,29,3,1.5,20,3,9
default_hero_622_skill_1,25,0,133,3,34.5,0,3,0
default_hero_623_skill_1,33,0,144,3,7.5,0,3,0
default_hero_624_skill_1,100,0,29,0,1.5,30,0,0
default_hero_625_skill_1,75,0,144,0,37.5,0,0,0
default_hero_626_skill_1,70,0,375,0,19.5,0,0,0
default_hero_627_skill_1,80,0,461,0,24,0,3,0
default_hero_628_skill_1,33,0,917,0,180,0,0,0
default_hero_629_skill_1,50,0,0,2,0,0,0,0
default_hero_630_skill_1,25,0,611,0,120,0,0,0
default_hero_631_skill_1,90,0,611,0,120,0,3,0
default_hero_632_skill_1,25,0,0,3,0,0,0,0
default_hero_633_skill_1,100,0,62,0,12,8,2,1.5
