KEY,EN,CN
LC_tpl_new_member_apply,<color=#FBED39FF>{0}</color> <color=#ffffffff>Apply to join alliance</color> ,<color=#2E88ADFF>{0}</color> <color=#ffffffff>申请加入联盟</color>
LC_tpl_new_member,<color=#FBED39FF>{0}</color> <color=#ffffffff>Joined alliance</color>,<color=#FBED39FF>{0}</color> <color=#ffffffff>已加入联盟</color>
LC_tpl_kick_member_by,<color=#FBED39FF>{1}</color> <color=#ffffffff>was kicked out by</color> <color=#FBED39FF>{0}</color>,<color=#FBED39FF>{1}</color> <color=#ffffffff>已被</color> <color=#FBED39FF>{0}</color> 开除. 
LC_tpl_member_quit,<color=#FBED39FF>{0}</color> <color=#ffffffff>quit the alliance</color>,"<color=#FBED39FF>{0}</color> <color=#ffffffff>注定无缘,  自己退出了联盟</color>"
LC_tpl_member_role_up,<color=#FBED39FF>{0}</color> <color=#ffffffff>was promoted to</color> <color=#FBED39FF>{1}</color> <color=#ffffffff>by</color> <color=#FBED39FF>{2}</color>,<color=#FBED39FF>{0}</color> <color=#ffffffff>被</color> <color=#FBED39FF>{2}</color> <color=#ffffffff>提升为</color> <color=#FBED39FF>{1}</color>
LC_tpl_member_role_down,<color=#FBED39FF>{0}</color> <color=#ffffffff>was demoted to</color> <color=#FBED39FF>{1}</color> <color=#ffffffff>by</color><color=#FBED39FF>{2}</color>,<color=#FBED39FF>{0}</color> <color=#ffffffff>被</color> <color=#FBED39FF>{2}</color> <color=#ffffffff>降级为</color> <color=#FBED39FF>{1}</color>
LC_alliance_position_member,Ordinary Member,普通成员
LC_alliance_position_elder,Elder,长老
LC_alliance_position_leader,Official,官员
LC_alliance_position_owner,<color=#c7259fff>Alliance Leader</color>,<color=#c7259fff>盟主</color>
LC_resource_food,Farm,食物
LC_resource_lumber,Lumber,木材
LC_resource_marble,Marble,石材
LC_resource_steel,Steel,钢材
LC_resource_gold,Gold,金币
LC_resource_crystal,Crystal,水晶
LC_resource_gem,Gem,钻石
LC_resource_plain,Plain,平原
LC_resource_road,Road,道路
LC_tile_river,River,河流
LC_tile_mountain,Mountain Range,山脉
LC_tile_forest,Forest,森林
LC_tile_balloon,Balloon,气球
LC_time_year,Year,年
LC_time_month,Month,月
LC_time_day,D,天
LC_time_hour,H,小时
LC_time_minute,Min,分
LC_time_second,Sec,秒
LC_hero_level,Lv. {0},{0}级
LC_armycamp_basic_name,Unit {0},部队 {0}
LC_building_build_done,Building complete,建造完成
LC_building_upgrade_done,Building upgraded,升级完成
LC_go_home,Townhall,指挥所
LC_warning_cancel_giveup_content,Are you sure you wish to cancel the demolition of the Stronghold?,您确定要取消要塞的拆除么?
LC_message_from_alliance,Alliance message,来自联盟的消息
LC_gem_short,Insufficient Gems,您的钻石不足
LC_recruit_done,Healing complete,治疗完成
LC_button_tile_strongholdgiveup,Abandon Stronghold,放弃要塞
LC_treasure_debris,Treasure Map Fragment,藏宝图碎片
LC_army_lost,{0} losses,损伤 {0}
LC_hero_reach_max_level,Hero already at max level,英雄已升至最高等级
LC_alliance_nearnest,Nearest,近在咫尺
LC_alliance_nearer,Nearer,一步之遥
LC_alliance_near,Near,较近
LC_alliance_medium,Medium,一般
LC_alliance_far,Far,远
LC_alliance_farther,Farther,遥远
LC_alliance_farthest,Farthest,遥不可及
LC_alliance_distance,Distance,距离
LC_get_info,View info,查看
LC_battle_rewards,Battle reward,战利品
LC_totoal_troop,Total HP,总生命
LC_land_give_confirm,"Once you choose to abandon tile it cannot be reversed,  do you wish to continue?","放弃土地不可逆转, 是否继续?"
LC_tpl_refuse_requester,{0} has refused {1}'s invitation to join the Alliance ,<color=#e45e29>{0}</color> 拒绝了 <color=#e45e29>{1}</color> 加入联盟的请求. 
LC_tpl_approval_requester,{0} has approved {1}'s invitation to join the Alliance ,<color=#e45e29>{0}</color> 批准了 <color=#e45e29>{1}</color> 加入联盟的请求. 
LC_tpl_mark_add,{0} has added an Alliance symbol:  {1},<color=#e45e29>{0}</color> 添加了联盟标记:  {1}
LC_tpl_mark_del,{0} has deleted the Alliance symbol:  {1},<color=#e45e29>{0}</color> 删除了联盟标记:  {1}
LC_tpl_new_slave,Wow!  {0} has annexed {1}! ,"经过奋战, <color=#e45e29>{0}</color> 为联盟沦陷一名强敌 <color=#e45e29>{1}</color> ! "
LC_tpl_level_up,Alliance level has increased to Lv.  {0},联盟等级提升至{0}级! 
LC_hero_card_contain,May contain,可能包含
LC_view_card_pool,Cards,查看卡池
LC_button_alliance_dissolve,Disband,解散联盟
LC_alliance_dissolve_tip,Are you sure you wish to disband the Alliance?,您确定要解散联盟?
LC_alliance_refrused_join,<color=#FF0000FF>This Alliance refuses to let anyone join</color>,<color=#FF0000FF>该联盟不允许任何人加入</color>
LC_alliance_force_not_reach,<color=#FF0000FF>Your Power Points do not meet the requirement for this Alliance</color>,<color=#FF0000FF>您的实力值未达到联盟的加入要求</color>
LC_alliance_intro_title,Alliance,联盟等级说明
LC_alliance_intro_content,"<size=30><color=#f6a414>Alliance level</color></size>\n<size=28> As the Lv.  of an Alliance increases,  you can get more resource output buffs and the limit to Alliance members also increases.  </size>\n\n<size=30><color=#f6a414>Alliance Experience</color></size>\n<size=28>Alliance Experience can be acquired in several ways: </size>\n<size=28>1. Alliance members occupy tile</size>\n<size=28>2. The Alliance occupies Cities and Mountain Passes</size>\n<size=28>3. Alliance underlings pay resource levies </size>\n\n<size=30><color=#f6a414>Alliance Contribution Points</color></size>\n<size=28>Alliance Contribution Points is where players accumulate Alliance Contribution Points for their Alliance through working hard.  If a player changes Alliance,  the Alliance Contribution Points of the original Alliance will not be affected,  but the players Contribution Points will be wiped.   </size>\n\n<size=30><color=#f6a414>Alliance Buffs</color></size>\n<size=28>Alliance resource output buffs will increase along with the Lv.  of an Alliance,  each buff increase is 0. 5%.  In addition,  occupying central areas of Cities will yield extra resource production.  </size>\n<size=28>In addition,  all Alliance buffs can only be enjoyed by the Alliance in question.  If you leave an Alliance or don't join one then you will not benefit from the buffs.  </size>","<size=30><color=#f6a414>联盟等级</color></size>\n<size=28>随着联盟等级的提升, 能够获得更多的资源产量加成, 以及盟友招募上限. </size>\n\n<size=30><color=#f6a414>联盟经验</color></size>\n<size=28>联盟经验可以通过多个途径获得: </size>\n<size=28>1. 联盟成员占领土地</size>\n<size=28>2. 联盟占领城市, 边境</size>\n<size=28>3. 联盟下属玩家缴纳资源</size>\n\n<size=30><color=#f6a414>联盟贡献值</color></size>\n<size=28>贡献值指的是玩家通过自己努力, 为联盟累积贡献的经验值. 如果更换联盟, 原联盟的经验值不会发生变化, 但是玩家的贡献值会清零重新累积. </size>\n\n<size=30><color=#f6a414>联盟加成</color></size>\n<size=28>联盟的资源产量加成, 会随着联盟等级提升而提升, 每次增加0. 5%. 在此基础上, 占领城市的中心区域, 也能获得额外的资源产出. </size>\n<size=28>以上, 所有的联盟加成只能被本盟所有享受. 退出或不加入联盟, 则失去加成. </size>"
LC_gain_resource,You got  ,您获得了
LC_gain_nothing,You got nothing,您一无所获
LC_refuse_request,{0} has refused the request. ,<color=#e45e29>{0}</color> 拒绝了该请求. 
LC_accept_request,{0} has accepted the request. ,<color=#e45e29>{0}</color> 接受了该请求. 
LC_mail_battle_oerside,Ally,我方
LC_mail_battle_enemy,Enemy,敌方
LC_mail_territory_durability,Tile durability {0},地块耐久度{0}
LC_alliance_default_desc,Hurry up and join us! ,快加入我们吧! 
LC_tip_error,Notice,提示
LC_system_mail,System Mail,系统邮件
LC_server_player_has_been_kicked_subject,Alliance Message,联盟信息
LC_server_player_has_been_kicked_body,You've been removed from {0} Alliance. ,您被移除出 <color=#e45e29>{0}</color> 联盟. 
LC_server_alliance_auto_dissolved_subject,Alliance Message,联盟信息
LC_server_alliance_auto_dissolved_body,Your Alliance {0} has been automatically disbanded due to a lack of members. ,您的联盟 <color=#e45e29>{0}</color> 由于人数不足被自动解散. 
LC_server_alliance_fall_npc_city_subject,City Occupied,联盟占领城市
LC_server_alliance_fall_npc_city_body,Your Alliance {0} has successfully occupied the level {1} City {2}.  \nNow all Alliance members can use {3} to heal with no extra resource consumption cost. ,"恭喜您所在的联盟{0}成功占领了{1}级城市{2}. 请领取奖励.\n您现在可以在{2}对部队进行治疗(不会消耗额外的资源). 此外,您在区域内要塞建造时间减少30%,区域内所有玩家移动对您可见."
LC_server_alliance_fall_pass_subject,Mountain Pass Occupied,联盟占领边境
LC_server_alliance_fall_pass_body,Your Alliance {0} has successfully occupied the Lv.  {1} Mountain Pass {2}. ,恭喜您所在的联盟{0}成功占领了{1}级边境{2}. 请领取奖励.
LC_server_alliance_lose_npc_city_subject,City Lost,联盟失去城市
LC_server_alliance_lose_npc_city_body,The Lv.  {1} City {2} which was occupied by {3} \n your Alliance {0} has been re-occupied. ,"您所在的联盟{0}的{1}级城市{2}已被{3}占领, 你们失去了它. "
LC_server_alliance_lose_pass_subject,Mountain Pass Lost,联盟失去边境
LC_server_alliance_lose_pass_body,The Lv.  {1} Mountain Pass {2} which was occupied by {3}\n your Alliance {0} has been re-occupied. ,"您所在的联盟{0}的{1}级边境{2}已被{3}占领, 你们失去了它. "
LC_HUD_troop_fatigue,Fatigue,疲劳
LC_alliance_subordinate_list,Underling List,下属列表
LC_fallen_by,by,被
LC_no_alliance_tip,"You haven't joined an Alliance yet,  create one or go and join one! ","您尚未加入联盟, 现在就创建或者加入一个联盟吧! "
LC_chapter_progress,Chapter Progress,主线进度
LC_chapter_reward,Chapter Reward,章节奖励
LC_treasure_collected_desc,"You have collected today's Treasure Map Reward,  the next one begins in {0}","今日藏宝图奖励已领取, 下次开启剩余时间{0}"
LC_server_alliance_dissolved_subject,Alliance Message,联盟信息
LC_server_alliance_dissolved_body,Your Alliance {0} has been successfully disbanded. ,您的联盟 <color=#e45e29>{0}</color> 已成功解散. 
LC_warning_alliance_name_empty,Alliance name can not be empty. ,联盟名字不能为空. 
LC_system_fallen_notice,Wow!  <color=#f6a414>{0}</color> has been fallen by <color=#F6F62A>[{1}]</color>'s <color=#F6F62A>{2}</color>! ,哇哦! <color=#f6a414>{0}</color> 已被 <color=#F6F62A>[{1}]</color>的<color=#F6F62A>{2}</color> 沦陷! 
LC_HUD_troop_needcure,Need Healing,需要治疗
LC_button_open_second_build_queue,Unlock,解锁
LC_button_go_build,Build,去建造
LC_unlock_build_queue_content,Need some gems to unlock the second building queue,"花费一些钻石或购买月卡, 解锁第二建筑队列! "
LC_unlock_build_queue_button,Unlock,解锁
LC_time_month_ago,{0} monthes ago,{0}个月前
LC_time_days_ago,{0} days ago,{0}天前
LC_time_yesterday,yesterday,昨天
LC_unlock_build_queue_content_busy,Building queue is exhausted.  Spend some gems to unlock the second building queue. ,"建筑队列已用完! 花费一些钻石或购买月卡, 解锁第二建筑队列! "
LC_server_first_alliance_fall_npc_city_subject,Time Limited Reward-Occupy the city,限时奖励-联盟占领城市
LC_server_first_alliance_fall_npc_city_body,Congrats!   \n You' ve got a reward of {3} germs as Your Alliance {0} has successfully occupied the lv.  {1} City {2} within a limited time. ,恭喜您所在的联盟{0}在限定时间内成功占领了{1}级城市{2}. \n请领取限时奖励: {3}钻石.
LC_system_break_city_notice,Wow!  <color=#f6a414>{0}</color> has been broken by <color=#F6F62A>[{1}]</color>! ,哇哦! <color=#f6a414>{0}</color> 已被 <color=#F6F62A>[{1}]</color>攻破并且占领! ​
LC_server_monster_not_found,,"指挥所附近的{0}级{2}已被消灭, 您可以扩张领地或借助盟友土地攻击其他区域{2}. 下次{2}刷新时间:{1}."
LC_button_confirm,confirm,确认
LC_button_more,more,更多
LC_button_message,,聊天
LC_setting,,设置
LC_music,,音乐
LC_language,,语言
LC_sound,,声音
LC_push,,推送
LC_fitter_tribe_chat,,过滤部落聊天
LC_googleplay,,Google Play
LC_facebook,,Facebook
LC_dragonnest,,龙渊
LC_game_makers,,制作人员
LC_help_surpport,,帮助与支持
LC_privacy,,保护隐私政策
LC_terms_service,,服务条款
LC_parent_guid,,家长指南
LC_on,,开启
LC_off,,关闭
LC_connect,,连接
LC_disconnect,,断开
LC_chinese,,中文
LC_english,,英文
LC_language_change_confirm,,您确定把{0}设置为当前语言吗?
LC_cn,,中文
LC_en,,英文
LC_alliance_intro_content_level_title,,联盟等级
LC_alliance_intro_content_level_detail,,"积累联盟实力值可以提升联盟等级:\n1. 联盟等级越高,联盟资源加成效果越好.\n2. 联盟等级越高,可招募的成员上限越高.\n3. 联盟最高等级为{0},成员上限为{1}."
LC_alliance_intro_content_exp_title,,联盟实力值
LC_alliance_intro_content_exp_detail,,"联盟实力值越高,排名越高.联盟实力值可以通过多个途径获得: \n1. 联盟成员占领土地\n2. 联盟占领城市, 边境\n3. 联盟下属玩家缴纳资源"
LC_alliance_intro_content_contribution_title,,贡献值
LC_alliance_intro_content_contribution_detail,,"贡献值指的是玩家个人为联盟贡献的联盟实力值. 如果更换联盟, 原联盟的联盟实力值不会发生变化, 但是玩家的贡献值会清零重新累积. "
LC_alliance_intro_content_multiplies_title,,联盟加成
LC_alliance_intro_content_multiplies_detail,,"加入联盟可以让自己的土地产量获得加成:\n1. 联盟等级越高,加成效果越好.\n2. 联盟占领城市中心, 能获得额外的资源加成.\n3.加成只对本联盟成员生效, 退出联盟则失去加成. "
LC_alliance_member_intro_title,,成员说明
LC_alliance_member_intro_content_owner_title,,盟主
LC_alliance_member_intro_content_owner_detail,," · 可招收成员, 移除联盟中任意成员\n · 任命或罢免联盟中的官员, 长老\n · 可禅让盟主\n · 可群发联盟邮件\n · 可发布联盟标记\n · 3天未上线会自动将盟主职位禅让予近7天内贡献值最高的官员, 无官员则禅让 予长老, 无官员, 长老则禅让予普通成员"
LC_alliance_member_intro_content_leader_title,,官员
LC_alliance_member_intro_content_leader_detail,," · 可招收成员, 移除联盟中的长老, 普通成员\n · 可任命官员, 长老, 可罢免长老\n · 可群发联盟邮件\n · 可发布联盟标记"
LC_alliance_member_intro_content_elder_title,,长老
LC_alliance_member_intro_content_elder_detail,," · 可招收成员, 移除联盟中的普通成员"
LC_alliance_member_intro_content_contribution_title,,贡献值
LC_alliance_member_intro_content_contribution_detail,," · 贡献值指的是玩家个人为联盟贡献的联盟实力值. 如果更换联盟, 原联盟的联盟实力值不会发生变化, 但是玩家的贡献值会清零重新累积. "
LC_unlock_build_queue_title,,解锁第二建筑队列
LC_unlock_build_queue_month_card,,购买月卡
LC_alliance_quit_warning,,"1.退出联盟{0}后才能再创建或加入联盟.\n2.退出联盟将清空联盟贡献,并失去联盟所有加成.\n3.未加入联盟的玩家将不能攻打城市和沦陷其他玩家.\n4.退出联盟不会解除沦陷状态."
LC_login_press_back_login,,点击返回登录界面
LC_server_alliance_fall_npc_city_body_normal,Your Alliance {0} has successfully occupied the level {1} City {2}.  \nNow all Alliance members can use {3} to heal with no extra resource consumption cost. ,恭喜您所在的联盟{0}成功占领了{1}级城市{2}. 请领取奖励.\n您现在可以在{2}对部队进行治疗(不会消耗额外的资源). 
LC_alliance_dissolve_warning,,"1.解散联盟将清除联盟所有相关数据.\n2.解散联盟将使联盟已占领的城市变为未占领状态.\n3.解散联盟后,盟主{0}后才能再创建或加入联盟.\n4.未加入联盟的玩家将不能攻打城市和沦陷其他玩家.\n5.解散联盟不会解除沦陷状态."
LC_server_tribute_town_hall_level_too_low,,指挥所到达3级才能领取贡品.
LC_server_monster_not_found_finish,,"指挥所附近的{0}级{1}已被消灭, 您可以扩张领地或借助盟友土地攻击其他区域{1}."
LC_mail_read,,已查看
LC_stronghold_give_up_confirm,"Once you choose to abandon tile it cannot be reversed,  do you wish to continue?","放弃要塞不可逆转, 是否继续?"
