chest,times,heroes,weight,join_heroes,special_weight,special_heroes,price,rarity,T1,T2,T3,T4,T5
silver_chest_1,2,"3;4;hero_405,hero_008,hero_109","1000,1000,1000","3;4;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|1;2;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,5~8,2~3,2~3,0~0,0~0
silver_chest_2,2,"4;6;hero_405,hero_008,hero_109","1000,1000,1000","4;6;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|1;2;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,8~12,2~3,2~3,0~0,0~0
silver_chest_3,2,"6;9;hero_405,hero_008,hero_109","1000,1000,1000","6;9;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|1;2;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,12~17,2~3,2~3,0~0,0~0
silver_chest_4,2,"8;11;hero_405,hero_008,hero_109,hero_211|2;3;hero_111","1000,1000,1000,500,500","8;11;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,15~22,4~5,2~3,0~0,0~0
silver_chest_5,3,"9;14;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|3;4;hero_111","1000,1000,1000,500,500,500,300","9;14;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|3;4;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,27~40,8~11,3~4,0~0,0~0
silver_chest_6,3,"12;18;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|4;5;hero_111,hero_011,hero_010","1000,1000,1000,500,500,500,300,300,300","12;18;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|4;5;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,36~54,10~15,5~8,0~0,0~0
silver_chest_7,3,"16;24;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202|4;6;hero_111,hero_011,hero_010,hero_104","1000,1000,1000,500,500,500,300,300,300,100","16;24;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|4;6;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|3;4;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,48~72,12~18,8~11,0~0,0~0
silver_chest_8,3,"19;28;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012|6;9;hero_111,hero_011,hero_010,hero_104,hero_005","1000,1000,1000,500,500,500,300,300,300,100","19;28;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|6;9;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|4;6;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,56~83,17~26,12~18,0~0,0~0
silver_chest_9,4,"24;36;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208|8;11;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307|4;6;hero_006","1000,1000,1000,500,500,500,300,300,300,100","24;36;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|8;11;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|4;6;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,96~144,29~44,16~24,0~0,0~0
silver_chest_10,4,"28;41;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003|12;17;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001|5;8;hero_006","1000,1000,1000,500,500,500,300,300,300,100","28;41;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|12;17;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|5;8;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,109~164,45~68,20~29,0~0,0~0
silver_chest_11,4,"32;48;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102|12;18;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401|7;10;hero_006","1000,1000,1000,500,500,500,300,300,300,100","32;48;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|12;18;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|7;10;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,128~192,48~72,26~39,0~0,0~0
silver_chest_12,4,"39;58;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|14;21;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|8;11;hero_006,hero_304","1000,1000,1000,500,500,500,300,300,300,100","39;58;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|14;21;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|8;11;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,154~231,55~82,29~44,0~0,0~0
silver_chest_13,4,"48;72;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|17;26;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|9;14;hero_006,hero_304","1000,1000,1000,500,500,500,300,300,300,100","48;72;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|17;26;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|9;14;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,2,192~288,68~101,36~53,0~0,0~0
golden_chest_1,3,"3;4;hero_405,hero_008,hero_109","1000,1000,1000","3;4;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|1;2;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,8~11,3~4,3~4,0~0,0~0
golden_chest_2,3,"4;6;hero_405,hero_008,hero_109","1000,1000,1000","4;6;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|1;2;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,12~18,3~4,3~4,0~0,0~0
golden_chest_3,3,"6;9;hero_405,hero_008,hero_109","1000,1000,1000","6;9;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|1;2;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,17~26,3~4,3~4,0~0,0~0
golden_chest_4,3,"8;11;hero_405,hero_008,hero_109,hero_211|2;3;hero_111","1000,1000,1000,500,500","8;11;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,22~33,5~8,3~4,0~0,0~0
golden_chest_5,4,"10;15;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|3;4;hero_111","1000,1000,1000,500,500,500,300","10;15;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|3;4;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,39~58,10~15,4~5,0~0,0~0
golden_chest_6,4,"14;21;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|4;6;hero_111,hero_011,hero_010","1000,1000,1000,500,500,500,300,300,300","14;21;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|4;6;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,55~82,16~24,7~10,0~0,0~0
golden_chest_7,4,"19;28;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202|5;8;hero_111,hero_011,hero_010,hero_104","1000,1000,1000,500,500,500,300,300,300,100","19;28;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|5;8;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|3;4;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,74~111,20~29,10~15,0~0,0~0
golden_chest_8,4,"21;32;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012|7;10;hero_111,hero_011,hero_010,hero_104,hero_005","1000,1000,1000,500,500,500,300,300,300,100","21;32;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|7;10;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|5;8;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,84~125,26~39,20~29,0~0,0~0
golden_chest_9,5,"29;44;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208|9;14;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307|5;8;hero_006","1000,1000,1000,500,500,500,300,300,300,100","29;44;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|9;14;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|5;8;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,144~216,44~66,24~36,0~0,0~0
golden_chest_10,5,"33;50;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003|14;21;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001|6;9;hero_006","1000,1000,1000,500,500,500,300,300,300,100","33;50;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|14;21;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|6;9;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,164~246,68~102,28~42,0~0,0~0
golden_chest_11,5,"39;58;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102|15;22;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401|8;12;hero_006","1000,1000,1000,500,500,500,300,300,300,100","39;58;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|15;22;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|8;12;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,192~288,72~108,40~60,0~0,0~0
golden_chest_12,5,"47;70;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|16;24;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|9;14;hero_006,hero_304","1000,1000,1000,500,500,500,300,300,300,100","47;70;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|16;24;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|9;14;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,232~348,80~120,44~66,0~0,0~0
golden_chest_13,5,"58;87;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|20;30;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|11;16;hero_006,hero_304","1000,1000,1000,500,500,500,300,300,300,100","58;87;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|20;30;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|11;16;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,3,288~432,100~150,52~78,0~0,0~0
magic_chest_1,3,"4;6;hero_405,hero_008,hero_109","1000,1000,1000","4;6;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,12~18,5~8,5~8,0~0,0~0
magic_chest_2,3,"7;10;hero_405,hero_008,hero_109","1000,1000,1000","7;10;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,20~29,5~8,5~8,0~0,0~0
magic_chest_3,3,"10;15;hero_405,hero_008,hero_109","1000,1000,1000","10;15;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,29~44,5~8,5~8,0~0,0~0
magic_chest_4,3,"12;18;hero_405,hero_008,hero_109,hero_211|3;4;hero_111","1000,1000,1000,1000,1000","12;18;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|3;4;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,36~54,8~11,5~8,0~0,0~0
magic_chest_5,4,"17;26;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|5;8;hero_111","1000,1000,1000,1000,1000,1000,1000","17;26;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|5;8;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,68~101,20~29,7~10,0~0,0~0
magic_chest_6,4,"23;34;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|7;10;hero_111,hero_011,hero_010","1000,1000,1000,1000,1000,1000,1000,1000,1000","23;34;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|7;10;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|4;5;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,90~135,26~39,13~20,0~0,0~0
magic_chest_7,4,"31;46;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202|8;11;hero_111,hero_011,hero_010,hero_104","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","31;46;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|8;11;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|5;8;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,122~183,29~44,20~29,0~0,0~0
magic_chest_8,4,"35;52;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012|11;16;hero_111,hero_011,hero_010,hero_104,hero_005","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","35;52;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|11;16;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|8;11;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,138~207,42~63,29~44,0~0,0~0
magic_chest_9,5,"48;72;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208|15;22;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307|8;12;hero_006","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","48;72;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|15;22;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|8;12;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,240~360,72~108,40~60,0~0,0~0
magic_chest_10,5,"55;82;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003|23;34;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001|10;15;hero_006","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","55;82;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|23;34;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|10;15;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,272~408,112~168,48~72,0~0,0~0
magic_chest_11,5,"64;96;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102|24;36;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401|13;20;hero_006","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","64;96;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|24;36;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|13;20;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,320~480,120~180,64~96,0~0,0~0
magic_chest_12,5,"77;116;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|28;41;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|15;22;hero_006,hero_304","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","77;116;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|28;41;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|15;22;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,384~576,136~204,72~108,0~0,0~0
magic_chest_13,5,"96;144;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|34;51;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|18;27;hero_006,hero_304","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","96;144;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|34;51;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|18;27;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,4,480~720,168~252,88~132,0~0,0~0
dragon_chest_1,4,"5;8;hero_405,hero_008,hero_109","1000,1000,1000","5;8;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,20,5,20~29,7~10,7~10,0~0,0~0
dragon_chest_2,4,"8;12;hero_405,hero_008,hero_109","1000,1000,1000","8;12;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,25,5,32~48,7~10,7~10,0~0,0~0
