id,level,type,name,race,tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"1,2,200,0",8,zone_capital,norwohr_outside,dwarf,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"1,2,201,1",4,normal,bayvale_center,raider,0,0,72000,72000,72000,72000,0,2020,0,870,0,19000,0,76800,s,640,361548,53
"1,2,201,0",4,normal,bayvale_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,2,202,1",5,normal,lostpeak_center,raider,0,0,144000,144000,144000,144000,0,0,2520,1080,0,78000,0,187500,s,1250,551808,60
"1,2,202,0",5,normal,lostpeak_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,3,200,1",10,region_capital,milgrun_center,dwarf,0,0,576000,576000,576000,576000,11880,0,0,0,0.3,864000,0,3000000,l,50000,4144788,98
"1,3,200,0",10,region_capital,milgrun_outside,dwarf,240,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"1,3,201,1",6,normal,drycross_center,raider,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"1,3,201,0",6,normal,drycross_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,3,202,1",5,normal,blackville_center,raider,0,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"1,3,202,0",5,normal,blackville_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,4,200,1",8,zone_capital,kulrigh_center,dwarf,0,0,372000,372000,372000,372000,0,2920,6810,0,0.3,381000,0,1228800,m,10240,2336868,83
"1,4,200,0",8,zone_capital,kulrigh_outside,dwarf,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"1,4,201,1",5,normal,rosemore_center,raider,0,0,144000,144000,144000,144000,720,0,2880,0,0,78000,0,187500,s,1250,551808,60
"1,4,201,0",5,normal,rosemore_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,4,202,1",4,normal,lostshire_center,raider,0,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"1,4,202,0",4,normal,lostshire_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,5,200,1",8,zone_capital,marnlodar_center,dwarf,0,0,372000,372000,372000,372000,0,0,9720,0,0.3,381000,0,1228800,m,10240,2336868,83
"1,5,200,0",8,zone_capital,marnlodar_outside,dwarf,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"1,5,201,1",5,normal,edgebell_center,raider,0,0,144000,144000,144000,144000,0,720,2880,0,0,78000,0,187500,s,1250,551808,60
"1,5,201,0",5,normal,edgebell_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,5,202,1",4,normal,ironwind_center,raider,0,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"1,5,202,0",4,normal,ironwind_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,6,200,1",7,zone_capital,naghria_center,dwarf,0,0,282000,282000,282000,282000,2700,6300,0,0,0.3,315000,0,720300,m,6860,1303812,75
"1,6,200,0",7,zone_capital,naghria_outside,dwarf,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"1,6,201,1",6,normal,deermire_center,raider,0,0,216000,216000,216000,216000,3460,0,870,0,0,135000,0,388800,s,2160,825588,68
"1,6,201,0",6,normal,deermire_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,6,202,1",4,normal,limepass_center,raider,0,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"1,6,202,0",4,normal,limepass_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,8,200,1",7,zone_capital,weststall_center,dwarf,0,0,282000,282000,282000,282000,0,9000,0,0,0.3,315000,0,720300,m,6860,1303812,75
"2,8,200,0",7,zone_capital,weststall_outside,dwarf,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"2,8,201,1",4,normal,dholbor_center,raider,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"2,8,201,0",4,normal,dholbor_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,8,202,1",6,normal,shadowtown_center,raider,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"2,8,202,0",6,normal,shadowtown_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"2,8,203,1",5,normal,fayglen_center,dwarf,0,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"2,8,203,0",5,normal,fayglen_outside,dwarf,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"2,8,204,1",4,normal,merrihm_center,raider,0,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"2,8,204,0",4,normal,merrihm_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,7,200,1",7,zone_capital,dolerum_center,dwarf,0,0,282000,282000,282000,282000,0,6750,0,2250,0.3,315000,0,720300,m,6860,1303812,75
"2,7,200,0",7,zone_capital,dolerum_outside,dwarf,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"2,7,201,1",6,normal,lightvale_center,raider,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"2,7,201,0",6,normal,lightvale_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"2,7,202,1",4,normal,duskward_center,raider,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"2,7,202,0",4,normal,duskward_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,7,203,1",5,normal,voghbihr_center,dwarf,0,0,144000,144000,144000,144000,0,0,2700,900,0,78000,0,187500,s,1250,551808,60
"2,7,203,0",5,normal,voghbihr_outside,dwarf,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"2,7,204,1",4,normal,heartborough_center,raider,0,0,72000,72000,72000,72000,0,0,0,2880,0,19000,0,76800,s,640,361548,53
"2,7,204,0",4,normal,heartborough_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,1,200,1",8,zone_capital,honeylight_center,dwarf,0,0,372000,372000,372000,372000,4860,4860,0,0,0.3,381000,0,1228800,m,10240,2336868,83
"2,1,200,0",8,zone_capital,honeylight_outside,dwarf,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"2,1,201,1",4,normal,hungrim_center,raider,0,0,72000,72000,72000,72000,2310,0,0,580,0,19000,0,76800,s,640,361548,53
"2,1,201,0",4,normal,hungrim_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,1,202,1",5,normal,pearlrock_center,raider,0,0,144000,144000,144000,144000,0,0,2520,1080,0,78000,0,187500,s,1250,551808,60
"2,1,202,0",5,normal,pearlrock_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"2,2,200,1",10,region_capital,rustspire_center,dwarf,0,0,576000,576000,576000,576000,11880,0,0,0,0.3,864000,0,3000000,l,50000,4144788,98
"2,2,200,0",10,region_capital,rustspire_outside,dwarf,240,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"2,2,201,1",6,normal,negoldur_center,raider,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"2,2,201,0",6,normal,negoldur_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"2,2,202,1",5,normal,nevergarde_center,raider,0,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"2,2,202,0",5,normal,nevergarde_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"2,3,200,1",8,zone_capital,oakenyard_center,dwarf,0,0,372000,372000,372000,372000,0,2920,6810,0,0.3,381000,0,1228800,m,10240,2336868,83
"2,3,200,0",8,zone_capital,oakenyard_outside,dwarf,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"2,3,201,1",4,normal,bom_ulihm_center,raider,0,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"2,3,201,0",4,normal,bom_ulihm_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,3,202,1",5,normal,silentshear_center,raider,0,0,144000,144000,144000,144000,720,0,2880,0,0,78000,0,187500,s,1250,551808,60
"2,3,202,0",5,normal,silentshear_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"2,4,200,1",7,zone_capital,moonfield_center,dwarf,0,0,282000,282000,282000,282000,1800,7200,0,0,0.3,315000,0,720300,m,6860,1303812,75
"2,4,200,0",7,zone_capital,moonfield_outside,dwarf,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"2,4,201,1",4,normal,bilkolduhr_center,raider,0,0,72000,72000,72000,72000,580,0,0,2310,0,19000,0,76800,s,640,361548,53
"2,4,201,0",4,normal,bilkolduhr_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,4,202,1",6,normal,bearvalley_center,raider,0,0,216000,216000,216000,216000,2160,0,2160,0,0,135000,0,388800,s,2160,825588,68
"2,4,202,0",6,normal,bearvalley_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"2,5,200,1",8,zone_capital,falsefront_center,dwarf,0,0,372000,372000,372000,372000,2430,0,0,7290,0.3,381000,0,1228800,m,10240,2336868,83
"2,5,200,0",8,zone_capital,falsefront_outside,dwarf,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"2,5,201,1",5,normal,barnrogh_center,raider,0,0,144000,144000,144000,144000,2880,720,0,0,0,78000,0,187500,s,1250,551808,60
"2,5,201,0",5,normal,barnrogh_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"2,5,202,1",4,normal,hazelstorm_center,raider,0,0,72000,72000,72000,72000,0,1440,1440,0,0,19000,0,76800,s,640,361548,53
"2,5,202,0",4,normal,hazelstorm_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,6,200,1",7,zone_capital,saltcross_center,dwarf,0,0,282000,282000,282000,282000,2700,6300,0,0,0.3,315000,0,720300,m,6860,1303812,75
"2,6,200,0",7,zone_capital,saltcross_outside,dwarf,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"2,6,201,1",6,normal,kughgan_center,raider,0,0,216000,216000,216000,216000,3460,0,870,0,0,135000,0,388800,s,2160,825588,68
"2,6,201,0",6,normal,kughgan_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"2,6,202,1",4,normal,millstone_center,raider,0,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"2,6,202,0",4,normal,millstone_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,8,200,1",7,zone_capital,northwich_center,raider,0,0,282000,282000,282000,282000,0,9000,0,0,0.3,315000,0,720300,m,6860,1303812,75
"3,8,200,0",7,zone_capital,northwich_outside,raider,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"3,8,201,1",5,normal,nem_todir_center,dwarf,0,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"3,8,201,0",5,normal,nem_todir_outside,dwarf,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,8,202,1",4,normal,orkney_center,raider,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"3,8,202,0",4,normal,orkney_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,8,203,1",6,normal,virnuhm_center,dwarf,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"3,8,203,0",6,normal,virnuhm_outside,dwarf,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"3,8,204,1",4,normal,leefside_center,raider,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"3,8,204,0",4,normal,leefside_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,7,200,1",7,zone_capital,nearon_center,raider,0,0,282000,282000,282000,282000,0,6750,0,2250,0.3,315000,0,720300,m,6860,1303812,75
"3,7,200,0",7,zone_capital,nearon_outside,raider,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"3,7,201,1",4,normal,deghuluhr_center,dwarf,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"3,7,201,0",4,normal,deghuluhr_outside,dwarf,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,7,202,1",5,normal,trudid_center,raider,0,0,144000,144000,144000,144000,0,0,2700,900,0,78000,0,187500,s,1250,551808,60
"3,7,202,0",5,normal,trudid_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,7,203,1",4,normal,vaggari_center,dwarf,0,0,72000,72000,72000,72000,0,0,0,2880,0,19000,0,76800,s,640,361548,53
"3,7,203,0",4,normal,vaggari_outside,dwarf,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,7,204,1",6,normal,nearon_center,raider,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"3,7,204,0",6,normal,nearon_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"3,1,200,1",7,zone_capital,iyesgarth_center,raider,0,0,282000,282000,282000,282000,1800,7200,0,0,0.3,315000,0,720300,m,6860,1303812,75
"3,1,200,0",7,zone_capital,iyesgarth_outside,raider,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"3,1,201,1",4,normal,delwihr_center,dwarf,0,0,72000,72000,72000,72000,2310,0,0,580,0,19000,0,76800,s,640,361548,53
"3,1,201,0",4,normal,delwihr_outside,dwarf,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,1,202,1",6,normal,furness_center,raider,0,0,216000,216000,216000,216000,0,2160,0,2160,0,135000,0,388800,s,2160,825588,68
"3,1,202,0",6,normal,furness_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"3,2,200,1",8,zone_capital,hillfar_center,raider,0,0,372000,372000,372000,372000,4860,4860,0,0,0.3,381000,0,1228800,m,10240,2336868,83
"3,2,200,0",8,zone_capital,hillfar_outside,raider,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"3,2,201,1",4,normal,gillodihr_center,dwarf,0,0,72000,72000,72000,72000,0,2020,0,870,0,19000,0,76800,s,640,361548,53
"3,2,201,0",4,normal,gillodihr_outside,dwarf,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,2,202,1",5,normal,forstford_center,raider,0,0,144000,144000,144000,144000,0,0,2520,1080,0,78000,0,187500,s,1250,551808,60
"3,2,202,0",5,normal,forstford_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,3,200,1",10,region_capital,aberdeen_center,dwarf,0,0,576000,576000,576000,576000,0,11880,0,0,0.3,864000,0,3000000,l,50000,4144788,98
"3,3,200,0",10,region_capital,aberdeen_outside,dwarf,240,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"3,3,201,1",6,normal,dal_todir_center,dwarf,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"3,3,201,0",6,normal,dal_todir_outside,dwarf,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"3,3,202,1",5,normal,wallowdale_center,raider,0,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"3,3,202,0",5,normal,wallowdale_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,4,200,1",8,zone_capital,pendle_center,raider,0,0,372000,372000,372000,372000,0,2920,6810,0,0.3,381000,0,1228800,m,10240,2336868,83
"3,4,200,0",8,zone_capital,pendle_outside,raider,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"3,4,201,1",5,normal,himedur_center,dwarf,0,0,144000,144000,144000,144000,720,0,2880,0,0,78000,0,187500,s,1250,551808,60
"3,4,201,0",5,normal,himedur_outside,dwarf,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,4,202,1",4,normal,panshaw_center,raider,0,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"3,4,202,0",4,normal,panshaw_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,5,200,1",8,zone_capital,airedale_center,raider,0,0,372000,372000,372000,372000,0,0,9720,0,0.3,381000,0,1228800,m,10240,2336868,83
"3,5,200,0",8,zone_capital,airedale_outside,raider,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"3,5,201,1",5,normal,dhigthiod_center,dwarf,0,0,144000,144000,144000,144000,0,720,2880,0,0,78000,0,187500,s,1250,551808,60
"3,5,201,0",5,normal,dhigthiod_outside,dwarf,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,5,202,1",4,normal,merton_center,raider,0,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"3,5,202,0",4,normal,merton_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,6,200,1",7,zone_capital,lerwick_center,raider,0,0,282000,282000,282000,282000,2700,6300,0,0,0.3,315000,0,720300,m,6860,1303812,75
"3,6,200,0",7,zone_capital,lerwick_outside,raider,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"3,6,201,1",6,normal,thorpes_center,raider,0,0,216000,216000,216000,216000,3460,0,870,0,0,135000,0,388800,s,2160,825588,68
"3,6,201,0",6,normal,thorpes_outside,raider,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"3,6,202,1",4,normal,nemduhr_center,dwarf,0,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"3,6,202,0",4,normal,nemduhr_outside,dwarf,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,8,200,1",7,zone_capital,rochdale_center,raider,0,0,282000,282000,282000,282000,0,9000,0,0,0.3,315000,0,720300,m,6860,1303812,75
"4,8,200,0",7,zone_capital,rochdale_outside,raider,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"4,8,201,1",4,normal,calcheth_center,raider,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"4,8,201,0",4,normal,calcheth_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,8,202,1",6,normal,kirn_todur_center,dwarf,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"4,8,202,0",6,normal,kirn_todur_outside,dwarf,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"4,8,203,1",5,normal,hil_furum_center,dwarf,0,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"4,8,203,0",5,normal,hil_furum_outside,dwarf,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"4,8,204,1",4,normal,strathmore_center,raider,0,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"4,8,204,0",4,normal,strathmore_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,7,200,1",7,zone_capital,kald_center,raider,0,0,282000,282000,282000,282000,0,6750,0,2250,0.3,315000,0,720300,m,6860,1303812,75
"4,7,200,0",7,zone_capital,kald_outside,raider,120,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"4,7,201,1",6,normal,isyrenthas_center,elf,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"4,7,201,0",6,normal,isyrenthas_outside,elf,100,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"4,7,202,1",4,normal,narfolk_center,raider,0,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"4,7,202,0",4,normal,narfolk_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,7,203,1",5,normal,shepshed_center,raider,0,0,144000,144000,144000,144000,0,0,2700,900,0,78000,0,187500,s,1250,551808,60
"4,7,203,0",5,normal,shepshed_outside,raider,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"4,7,204,1",4,normal,inanatalos_center,elf,0,0,72000,72000,72000,72000,0,0,0,2880,0,19000,0,76800,s,640,361548,53
"4,7,204,0",4,normal,inanatalos_outside,elf,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,1,200,1",8,zone_capital,blaenau_center,raider,0,0,372000,372000,372000,372000,4860,4860,0,0,0.3,381000,0,1228800,m,10240,2336868,83
"4,1,200,0",8,zone_capital,blaenau_outside,raider,130,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"4,1,201,1",4,normal,dalmellington_center,raider,0,0,72000,72000,72000,72000,2310,0,0,580,0,19000,0,76800,s,640,361548,53
"4,1,201,0",4,normal,dalmellington_outside,raider,60,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,1,202,1",5,normal,kamtoduhr_center,dwarf,0,0,144000,144000,144000,144000,0,0,2520,1080,0,78000,0,187500,s,1250,551808,60
"4,1,202,0",5,normal,kamtoduhr_outside,dwarf,80,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"4,2,200,1",10,region_capital,ironhaven_center,elf,0,0,576000,576000,576000,576000,0,11880,0,0,0.3,864000,0,3000000,l,50000,4144788,98
"4,2,200,0",10,region_capital,ironhaven_outside,elf,240,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"4,2,201,1",6,normal,northbury_center,raider,0,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
