KEY,EN,CN
LC_server_march_target_invalid,You cannot march to here,该地点无法到达. 
LC_server_march_troop_id_invalid,This Unit cannot carry out the operation.  ,不能指派该部队执行操作. 
LC_server_troop_assigned,This hero is already in a Unit. ,该英雄已经在一支部队中了. 
LC_server_troop_position_not_empty,This position is already occupied,该位置已经被占用. 
LC_server_troop_position_invalid,You cannot appoint a hero in this position.  The formation is either full or said position is already occupied. ,"该位置不能指派英雄, 上阵人数已满或者位置已经被占用. "
LC_server_hero_not_found,"Hero not found,  please restart the game and try again.  ","该英雄不存在, 请重启游戏再次尝试. "
LC_server_hero_energy_not_enough,"The Strength of the Hero(es) in the Unit is insufficient,  you must wait until the Strength has been recovered before you can move.  ","部队中有英雄体力不足, 需要等待体力恢复后再进行移动. "
LC_server_hero_level_invalid,"Hero level data error,  please restart the game and try again.  ","英雄等级数据错误, 请重启游戏再次尝试. "
LC_server_hero_name_invalid,"Hero name invalid,  please restart the game and try again.  ","英雄名称非法, 请重启游戏再次尝试. "
LC_server_hero_fragment_not_enough,Insufficient hero fragments. ,英雄碎片不足. 
LC_server_hero_army_amount_maximum,"The Unit count has reached the highest value,  please restart the game and try again.  ",英雄生命值均已达到最大值或均已在治疗. 
LC_server_hero_skill_not_found,"Skill not found,  please restart the game and try again.  ","该技能不存在, 请重启游戏再次尝试. "
LC_server_battle_report_not_found,"Battle report not found,  please restart the game and try again.  ","该战报不存在, 请重启游戏再次尝试. "
LC_server_personal_message_not_found,"Personal message not found,  please restart the game and try again.  ","该私信不存在, 请重启游戏再次尝试. "
LC_server_system_message_not_found,"System message not found,  please restart the game and try again.  ","系统消息不存在, 请重启游戏再次尝试. "
LC_server_building_not_found,"Building not found,  please restart the game and try again.  ","建筑不存在, 请重启游戏再次尝试. "
LC_server_building_name_invalid,"Building name invalid,  please restart the game and try again.  ","建筑名称非法, 请重启游戏再次尝试. "
LC_server_building_level_invalid,"Building level data error,  please restart the game and try again.  ","建筑等级数据错误, 请重启游戏再次尝试. "
LC_server_building_is_broken,"Building has been demolished,  please restart the game and try again.  ","建筑已经被摧毁, 请重启游戏再次尝试. "
LC_server_building_not_broken,"Construction,  do not repeat the construction. ","建造中, 请勿重复建造. "
LC_server_building_is_locked,"Building locked,  please read the building information.  ","还未解锁该建筑, 请阅读建筑信息. "
LC_server_building_is_placed,Building positioned,建筑已经放置. 
LC_server_task_has_been_collected,Task reward has already been claimed. ,任务奖励已经领取.
LC_server_task_not_finished,Task hasn't been completed. ,任务还未完成. 
LC_server_task_not_found,"Task not found,  please restart the game and try again.  ","任务不存在, 请重启游戏再次尝试. "
LC_server_chapter_task_has_been_collected,Task reward has already been claimed. ,任务奖励已经领取. 
LC_server_chapter_task_not_finished,Task hasn't been completed. ,任务还未完成. 
LC_server_chapter_task_not_found,"Task not found,  please restart the game and try again.  ","任务不存在, 请重启游戏再次尝试. "
LC_server_chest_not_exist,"Treasure Chest not found,  please restart the game and try again. ","该宝箱不存在, 请重启游戏再次尝试. "
LC_server_treasure_map_not_enough,Treasure Map Fragments not fully collected. ,藏宝图碎片还没有搜集全. 
LC_server_treasure_map_reward_not_found,"Treasure Map reward not found,  please restart the game and try again. ","藏宝图奖励不存在, 请重启游戏再次尝试. "
LC_server_tribute_name_invalid,"Tribute name error,  please restart the game and try again. ","贡品名称错误, 请重启游戏再次尝试. "
LC_server_tribute_not_cold,"The next batch of Tributes is being delivered,  please be patient.  ","下一批贡品正在运送中, 请耐心等待. "
LC_server_born_point_not_exist,"Server already full,  please choose another server to play on. ","服务器已满员, 请选择其他服务器进行游戏. "
LC_server_ownership_already_exist,This tile has already been occupied by another player. ,该地块已被其他玩家占领. 
LC_server_player_already_in_alliance,You has already joined an Alliance. ,您已加入一个联盟. 
LC_server_player_quit_alliance_cd,You have only just left an Alliance.  Only after 24 hours of leaving an Alliance can you join another one. ,{0}后才可以再次加入联盟. 
LC_server_player_is_fallen_cannot_join_alliance,"You have been annexed,  you cannot join an Alliance.  Try to save yourself or request help from friends and allies.  ","您正处于沦陷状态, 不能加入联盟. 请尝试自救或者呼唤盟友解救. "
LC_server_player_has_no_permission,Your current level does not permit you to carry out this operation. ,您所在的公会级别不能进行这个操作. 
LC_server_elder_kick_cd,You have just kicked someone out of the Alliance.  Elders can only kick one person out every 30 minutes. ,"您才刚刚踢出一名成员, 长老级别每30分钟才能踢出一人. "
LC_server_cannot_kick_member,You cannot kick this player out of the Alliance. ,您无法将该玩家踢出联盟. 
LC_server_leader_mark_cd,"The Alliance mark can only be modified once every 2 minutes,  please be patient. ","联盟标记每2分钟可以更改一次, 请耐心等待. "
LC_server_cannot_mark,You cannot add an Alliance mark. ,您不能添加联盟标记. 
LC_server_troop_not_found,"Unit not found,  please restart the game and try again. ","部队不存在, 请重启游戏再次尝试. "
LC_server_troop_is_marching,Unit currently marching. ,部队正在行军. 
LC_server_troop_hero_is_recruiting,Heros are getting healing. ,部队英雄正在治疗. 
LC_server_troop_is_placed,"Unit already on the map,  please restart the game and try again.  ","部队已经存在于地图上, 请重启游戏再次尝试. "
LC_server_cannot_recruit,"Units can only be Healed at the Townhall,  Stronghold or in the City. ","部队只能在指挥所, 要塞和城市中治疗. "
LC_server_recruit_queue_maximum,The healing queue is full. ,要塞治疗队列已满. 
LC_server_attack_target_under_protection,Your attack target is under protection,"目标正处于48小时新手保护状态, 不能攻击. "
LC_server_attachment_has_been_collected,You have already claimed this Chest! ,您已经领取过这个宝箱啦! 
LC_server_input_out_limit_16,"Your input has exceeded the limit,  it cannot be longer than 16 characters. ","输入长度超过限制, 不能超过16个字. "
LC_server_input_out_limit_100,"Your input has exceeded the limit,  it cannot be longer than 100 characters. ","输入长度超过限制, 不能超过100个字. "
LC_server_input_out_limit_400,"Your input has exceeded the limit,  it cannot be longer than 400 characters. ","输入长度超过限制, 不能超过400个字. "
LC_server_input_has_dirty_word,Please communicate and behave in a civilized and respectful manner. ,"请您文明用语, 和谐的进行游戏. "
LC_server_recruit_not_found,Event does not exist or has been finished. ,治疗事件不存在或已完成. 
LC_server_recruit_troop_not_found,Unit treatment not found,治疗部队不能存在. 
LC_server_send_personal_message_target_not_found,"Recipient doesn't exist,  please type it in again. ","收件人不存在, 请重新输入. "
LC_server_building_can_not_give_up,Building cannot be abandoned. ,建筑不能放弃. 
LC_server_abandon_point_is_avoid,You cannot abandon this piece of tile. ,免战保护期间不能放弃土地. 
LC_server_abandon_point_not_found,"The tile you wish to abandon does not exist, please restart the game and try again. ","您想要放弃的土地不存在, 请重启游戏再次尝试. "
LC_server_lottery_group_name_is_locked,This Chest has not been unlocked. ,该宝箱未解锁. 
LC_server_lottery_group_name_invalid,"This Chest has already been used,  opened or not found. ",该宝箱已用被打开过或不存在. 
LC_tpl_slave_new_slave,<size=24><color=#D5CD00>{0}</color></size>{1} was annexed by my Alliance,<size=24><color=#D5CD00>{0}</color></size>{1}被我盟沦陷
LC_tpl_slave_pay_free_tax,"<size=24><color=#D5CD00>{0}</color></size>{1} has paid resource levies,  and has contributed {2} Expr Points to the Alliance.  ","<size=24><color=#D5CD00>{0}</color></size>{1}上交了资源, 为我盟贡献{2}点联盟实力值. "
LC_tpl_slave_free_for_pay,<size=24><color=#D5CD00>{0}</color></size>{1} has paid resource levies and is no longer a underling of our Alliance.  ,"<size=24><color=#D5CD00>{0}</color></size>{1}缴齐了资源, 不再是我盟下属. "
LC_tpl_slave_free_for_help,"<size=24><color=#D5CD00>{0}</color></size>{1}was rescued by<size=24><color=#EF0723>{2}</color></size>{3},  and isn't our underling anymore. ","<size=24><color=#D5CD00>{0}</color></size>{1}被<size=24><color=#EF0723>{2}</color></size>{3}解救, 不再是我盟下属. "
LC_tpl_slave_had_fallen,"<size=24><color=#D5CD00>{0}</color></size>{1}was annexed by<size=24><color=#EF0723>{2}</color></size>{3},  and isn't our underling anymore. ","<size=24><color=#D5CD00>{0}</color></size>{1}被<size=24><color=#EF0723>{2}</color></size>{3}沦陷, 已不再是我盟下属. "
LC_server_alliance_can_not_dissolve,Alliance be disbanded ,联盟不能解散
LC_server_cannot_move_to_target_when_fallen,Whilst being annexed a target cannot be moved,在被沦陷期间不能对目标进行移动
LC_server_was_fallen_subject,Annexation Info,沦陷信息
LC_server_was_fallen_body,I regret to inform you that you have been annexed by player {0} and have become a underling under Alliance {1}.  You currently cannot benefit from Alliance buffs or move to Alliance territories. ,"很遗憾, 您被玩家{0}攻陷, 成为联盟{1}的下属. 暂时不能享受联盟加成也不能借地移动. "
LC_server_free_for_help_subject,Annexation Removal Info,解除沦陷信息
LC_server_free_for_help_body,"Player {0} saved you,  from now on you will no longer be a underling under Alliance {1}. ","玩家{0}解救了您, 从此不再是联盟{1}的下属. "
LC_server_free_for_pay_subject,Annexation Removal Info,解除沦陷信息
LC_server_free_for_pay_body,"Congratulations for having paid off enough resources,  you will no longer be a underling under Alliance {0}. ","恭喜您已经缴纳足够资源, 不再是联盟{0}的下属. "
LC_server_was_approval_join_alliance_subject,Alliance Info,联盟信息
LC_server_was_approval_join_alliance_body,"Your Alliance application has been approved by player {0},  congratulations on becoming a member of Alliance {1}. ","您的联盟申请已被玩家{0}通过, 恭喜您成为联盟{1}的一员. "
LC_server_required_relogin,Need to log in again. ,需要重新登录
LC_server_alliance_can_not_join_for_level,You can join a alliance only when your Townhall got Lv. 3. ,指挥所3级以上才能加入联盟
LC_server_build_event_not_found,"The building event is not fount, please restart the game and try again.  ","该建筑事件已完成或不存在, 请重启游戏再次尝试. "
LC_server_cannot_edit_troop,Can't edit Unit now,暂时不能编辑部队
LC_server_cannot_return_troop_immediately,Can't return the Unit now,暂时不能返回部队
LC_server_name_exist,Name existed.  Try a new one! ,"这个名字已经被用啦, 换个新的吧. "
LC_server_name_has_dirty_words,Invalid name!  Try a new one! ,"请文明用语, 换个新的名字吧. "
LC_server_alliance_can_not_recruit_in_your_area,You can only join this alliance when they take the pass between the regions. ,"边境被其打通之前, 不能跨国加入该联盟. "
LC_server_name_is_null,The name can't be empty! ,昵称不能为空! 
LC_server_can_not_change_name,"Your player name has changed successfully,  and can't be changed again. ","您已用完玩家名的修改机会, 不能重复更改. "
LC_server_recruit_hero_exit,The hero is being healed. ,该英雄正在治疗中. 
LC_server_cannot_connect_gateway,Can't connect the game gateway. ,连接游戏网关失败. 
LC_server_cannot_find_role,Can't find that player. ,游戏角色查询失败. 
LC_server_role_illegal,The player name is illegal. ,角色信息非法. 
LC_server_cannot_update_role,The player's information updated failed. ,角色信息更新失败. 
LC_server_attack_target_is_avoid,"The tile is invalid,  can't be attacked. ","此地块无效, 不能被攻击. "
LC_server_is_upgrade_or_give_up,You can't build or abandon the same building at the same time. ,您不能同时建造和放弃同一个建筑. 
LC_facebook_alreadybound,Bound,已绑定
LC_facebook_facebookbound,Facebook,Facebook
LC_facebook_facebookrole,Has been associated with your Facebook account,Facebook已绑定账号
LC_facebook_udidrole,Current account,当前账号
LC_facebook_error_loginfaile,Login failed,登录失败
LC_facebook_error_seververifyfaile,Server validation failed,服务器验证失败
LC_facebook_error_loginagain,Please login again,请重新登录
LC_facebook_cover,Are you sure to overwrite the current game progress?,是否确认覆盖当前游戏进度?
LC_tpl_new_alliance_slave,{0} successfully fallen the leader of the Alliance<size=24><color=#D42D11>{1}</color></size> and all of members of this Alliance have been annexed. ,"{0}成功攻破联盟<size=24><color=#D42D11>{1}</color></size>盟主, 使其全员被沦陷"
LC_tpl_slave_new_slave_alliance,All members of the alliance <size=24><color=#D42D11>{0}</color></size> has been annexed by us. ,联盟<size=24><color=#D42D11>{0}</color></size>全员被我盟沦陷
LC_battle_result_can_not_fallen,Haven't joined an alliance and cannot annex it. ,"未加入联盟, 无法沦陷"
LC_battle_result_can_not_occupied_special,Haven't joined an alliance and cannot occupy it. ,"未加入联盟, 无法占领"
LC_server_force_reward_not_exist,"Power Points reward not found,  please restart the game and try again.  ","实力值奖励不存在, 请重启游戏再次尝试. "
LC_server_force_reward_not_enough_force,"Power Points not enough,  please restart the game and try again.  ","实力值不足以领取此奖励, 请重启游戏再次尝试. "
LC_server_force_reward_has_been_collected,Power Points reward has been collected already. ,实力值奖励已领取. 
LC_server_force_level_downgraded_via_subject,,实力值等级下降
LC_server_force_level_downgraded_via_tile_abandon_body,,"主动放弃地块{0}{1}级({2}), 导致实力值等级降级为{3}"
LC_server_force_level_downgraded_via_tile_beoccupied_body,,"地块{0}{1}级({2})被{3}{4}抢夺, 导致实力值等级降级为为{5}"
LC_server_force_level_downgraded_via_building_abandon_body,,"主动放弃建筑{0}{1}级({2}), 导致实力值等级降级为{3}"
LC_server_force_level_downgraded_via_building_destroyed_body,,"建筑{0}{1}级({2})被{3}{4}摧毁, 导致实力值等级降为{5}"
LC_server_recruit_resource_not_enough,,您的资源不足以治疗全部英雄
LC_server_daily_shop_had_collect,,您已购买过
LC_server_login_reward_title,,"[活动]七天登录好礼, 送森林游侠"
LC_server_login_reward_content,,"你好, 亲爱的冒险者! 随着冒险旅程的起航, 精彩的开服活动也将为尊敬的冒险家助力. 感谢您为抵抗恶魔势力做出的贡献, 期待您拯救这片支离破碎的迷雾大陆. 这也是迷雾大陆冒险者公会应该给您的帮助.\n\n[活动]七天登录送森林游侠\n自游戏开服起, 每日登录游戏均可获取丰厚奖励! 累计登录七天更有豪礼相送!\n第一天: 钻石*10 金币*100\n第二天: 钻石*10 金币*125 卡牌-[亚马逊角斗士]*5\n第三天: 钻石*10 金币*150\n第四天: 钻石*10 金币*175\n第五天: 钻石*10 金币*200\n第六天: 钻石*10 金币*300\n第七天: 钻石*10 金币*500 卡牌-[森林游侠]*15\n\n祝家园繁荣昌盛!\n        ——迷雾大陆冒险者公会"
LC_server_disconnected,,"网络不给力, 请检查网络连接"
LC_server_is_full,,"服务器已满员, 重启游戏后会给您重新分配服务器."
