id,x,y
"9,4,200,1",360,644
"1,4,202,1",374,734
"1,4,201,1",358,779
"2,1,202,1",370,829
"2,1,200,1",372,870
"2,8,202,1",359,929
"2,8,200,1",399,957
"6,7,202,1",442,31
"6,4,200,1",442,118
"6,4,202,1",417,158
"11,1,200,1",448,572
"2,3,201,1",423,731
"2,3,200,1",448,780
"2,2,201,1",430,848
"6,7,201,1",466,79
"6,4,201,1",476,151
"10,7,200,1",467,272
"10,6,200,1",454,356
"11,4,200,1",451,456
"11,5,200,1",500,501
"9,5,200,1",453,639
"2,3,202,1",474,746
"2,2,202,1",471,827
"2,2,200,1",461,876
"2,8,204,1",458,927
"2,8,203,1",454,985
"6,8,203,1",535,23
"6,8,204,1",544,66
"6,2,200,1",524,122
"6,2,202,1",532,175
"6,3,200,1",547,222
"6,3,202,1",523,267
"10,5,200,1",549,375
"9,7,200,1",533,740
"2,4,201,1",522,852
"2,7,201,1",540,930
"6,8,200,1",598,52
"6,2,201,1",571,150
"6,3,201,1",586,262
"11,3,200,1",552,428
"11,2,200,1",553,553
"9,6,200,1",551,654
"2,4,202,1",578,842
"2,4,200,1",558,878
"2,7,200,1",599,943
"2,7,202,1",568,976
"6,8,202,1",643,75
"6,1,200,1",647,122
"6,1,202,1",625,171
"5,4,201,1",649,223
"5,4,202,1",620,255
"10,4,200,1",640,368
"10,1,200,1",627,563
"9,8,200,1",635,639
"3,5,202,1",647,723
"2,5,201,1",634,825
"2,5,200,1",632,880
"2,7,203,1",650,966
"6,8,201,1",680,28
"6,1,201,1",678,177
"5,4,200,1",677,262
"10,2,200,1",651,455
"3,5,200,1",667,746
"3,5,201,1",659,780
"2,5,202,1",673,856
"2,7,204,1",660,923
"5,1,201,1",723,28
"5,1,202,1",726,76
"5,2,201,1",719,153
"5,3,201,1",724,234
"5,3,202,1",746,277
"5,5,200,1",743,320
"5,5,202,1",718,357
"10,3,200,1",746,453
"4,3,201,1",730,571
"3,4,202,1",736,624
"3,3,202,1",731,747
"3,6,202,1",723,852
"2,6,201,1",748,923
"2,6,200,1",727,976
"5,1,200,1",773,52
"5,2,200,1",770,129
"5,2,202,1",751,182
"5,3,200,1",774,231
"5,5,201,1",776,351
"4,3,202,1",761,524
"4,3,200,1",777,576
"3,4,201,1",784,646
"3,4,200,1",754,676
"3,3,201,1",770,731
"3,3,200,1",764,767
"3,6,200,1",764,835
"3,6,201,1",768,880
"2,6,202,1",774,964
"5,7,201,1",840,29
"5,7,203,1",848,130
"5,7,204,1",825,170
"5,6,200,1",829,235
"5,6,202,1",840,279
"4,5,202,1",846,324
"4,5,201,1",824,368
"4,4,202,1",839,420
"4,4,201,1",842,482
"4,2,202,1",826,543
"4,1,202,1",834,627
"4,1,201,1",829,681
"3,2,202,1",830,753
"3,7,204,1",835,835
"3,8,204,1",825,967
"5,7,202,1",858,64
"5,7,200,1",867,100
"5,6,201,1",883,231
"4,5,200,1",877,358
"4,4,200,1",875,449
"4,2,200,1",879,548
"4,2,201,1",856,582
"4,1,200,1",879,644
"3,2,201,1",865,720
"3,2,200,1",869,778
"3,7,203,1",864,858
"3,7,200,1",900,875
"3,8,203,1",857,929
"3,8,200,1",900,954
"5,8,201,1",932,37
"5,8,203,1",931,137
"4,6,201,1",927,249
"4,7,204,1",927,328
"4,7,200,1",946,399
"4,7,201,1",927,456
"4,8,204,1",929,542
"4,8,202,1",928,643
"3,1,202,1",928,737
"3,1,200,1",948,773
"3,7,202,1",934,857
"3,8,202,1",941,977
"5,8,202,1",977,61
"5,8,200,1",955,103
"5,8,204,1",964,176
"4,6,202,1",970,223
"4,6,200,1",970,275
"4,7,203,1",966,351
"4,7,202,1",971,437
"4,8,203,1",975,542
"4,8,200,1",954,603
"4,8,201,1",973,678
"3,1,201,1",975,725
"3,7,201,1",966,839
"3,8,201,1",959,936
