index,next,previouse,unlock_ui
normal_61,normal_71,normal_59,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_71,normal_81,normal_61,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_81,normal_91,normal_71,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_91,normal_101,normal_81,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_101,normal_111,normal_91,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_111,normal_112,normal_101,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_112,normal_121,normal_111,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_121,normal_124,normal_112,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_124,normal_128,normal_121,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_128,normal_129,normal_124,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_129,chapter_task_2,normal_128,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
chapter_task_2,normal_130,normal_129,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_130,normal_131,chapter_task_2,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_131,normal_132,normal_130,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Chapter,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_132,chapter_task_3,normal_131,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Chapter,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
chapter_task_3,normal_140,normal_132,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Chapter,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_140,normal_141,chapter_task_3,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Chapter,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_141,normal_151,normal_140,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Chapter,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_151,normal_161,normal_141,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Chapter,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_161,,normal_151,
