id,type,townhall_level,name,level,amount,force,produce,times,vitality,locale_desc
235,battle_win,9,,,,,,5,10,task_daily_235_desc
236,battle_win,9,,,,,,8,15,task_daily_236_desc
237,recruit,9,,,,,,14,5,task_daily_237_desc
238,recruit,9,,,,,,15,10,task_daily_238_desc
239,recruit_amount,9,,,720000,,,,5,task_daily_239_desc
240,hero_levelup_times,9,,,,,,4,5,task_daily_240_desc
241,hero_levelup_times,9,,,,,,5,10,task_daily_241_desc
242,hero_levelup_times,9,,,,,,7,15,task_daily_242_desc
243,pvp_times,9,,,,,,1,5,task_daily_243_desc
244,pvp_times,9,,,,,,2,10,task_daily_244_desc
245,pvp_times,9,,,,,,3,15,task_daily_245_desc
246,building_levelup_times,9,,,,,,1,5,task_daily_246_desc
247,building_levelup_times,9,,,,,,2,10,task_daily_247_desc
248,building_levelup_times,9,,,,,,3,15,task_daily_248_desc
249,resource_produce,9,marble,,,,400,,5,task_daily_249_desc
250,resource_produce,9,marble,,,,800,,10,task_daily_250_desc
251,resource_produce,9,marble,,,,1200,,15,task_daily_251_desc
252,force,9,,,,400,,,5,task_daily_252_desc
253,force,9,,,,480,,,10,task_daily_253_desc
254,force,9,,,,560,,,15,task_daily_254_desc
255,get_tribute_times,9,,,,,,1,5,task_daily_255_desc
256,get_tribute_times,9,,,,,,2,10,task_daily_256_desc
257,get_tribute_times,9,,,,,,4,15,task_daily_257_desc
258,gold_totalamount,9,,,2100,,,,5,task_daily_258_desc
259,gold_totalamount,9,,,4300,,,,10,task_daily_259_desc
260,gold_totalamount,9,,,7100,,,,15,task_daily_260_desc
261,resource_revoke,9,,,1,,,,5,task_daily_261_desc
262,resource_revoke,9,,,2,,,,10,task_daily_262_desc
263,resource_revoke,9,,,4,,,,15,task_daily_263_desc
264,attack_npccity,9,,,,,,1,5,task_daily_264_desc
265,attack_npccity,9,,,,,,2,10,task_daily_265_desc
266,attack_npccity,9,,,,,,3,15,task_daily_266_desc
267,attack_pass,9,,,,,,1,5,task_daily_267_desc
268,attack_pass,9,,,,,,2,10,task_daily_268_desc
269,attack_pass,9,,,,,,3,15,task_daily_269_desc
270,occupied_resource_times,10,,9,,,,1,5,task_daily_270_desc
271,occupied_resource_times,10,,9,,,,2,10,task_daily_271_desc
272,occupied_resource_times,10,,10,,,,1,10,task_daily_272_desc
273,occupied_resource_times,10,,10,,,,2,15,task_daily_273_desc
274,battle_win,10,,,,,,3,5,task_daily_274_desc
275,battle_win,10,,,,,,5,10,task_daily_275_desc
276,battle_win,10,,,,,,8,15,task_daily_276_desc
277,recruit,10,,,,,,16,5,task_daily_277_desc
278,recruit,10,,,,,,17,10,task_daily_278_desc
279,recruit_amount,10,,,1224000,,,,5,task_daily_279_desc
280,hero_levelup_times,10,,,,,,4,5,task_daily_280_desc
281,hero_levelup_times,10,,,,,,5,10,task_daily_281_desc
282,hero_levelup_times,10,,,,,,7,15,task_daily_282_desc
283,pvp_times,10,,,,,,1,5,task_daily_283_desc
284,pvp_times,10,,,,,,2,10,task_daily_284_desc
285,pvp_times,10,,,,,,3,15,task_daily_285_desc
286,building_levelup_times,10,,,,,,1,5,task_daily_286_desc
287,building_levelup_times,10,,,,,,2,10,task_daily_287_desc
288,building_levelup_times,10,,,,,,3,15,task_daily_288_desc
289,resource_produce,10,lumber,,,,400,,5,task_daily_289_desc
290,resource_produce,10,lumber,,,,800,,10,task_daily_290_desc
291,resource_produce,10,lumber,,,,1200,,15,task_daily_291_desc
292,force,10,,,,450,,,5,task_daily_292_desc
293,force,10,,,,540,,,10,task_daily_293_desc
294,force,10,,,,630,,,15,task_daily_294_desc
295,get_tribute_times,10,,,,,,1,5,task_daily_295_desc
296,get_tribute_times,10,,,,,,2,10,task_daily_296_desc
297,get_tribute_times,10,,,,,,4,15,task_daily_297_desc
298,gold_totalamount,10,,,2400,,,,5,task_daily_298_desc
299,gold_totalamount,10,,,4700,,,,10,task_daily_299_desc
300,gold_totalamount,10,,,7900,,,,15,task_daily_300_desc
301,resource_revoke,10,,,1,,,,5,task_daily_301_desc
302,resource_revoke,10,,,2,,,,10,task_daily_302_desc
303,resource_revoke,10,,,4,,,,15,task_daily_303_desc
304,attack_npccity,10,,,,,,1,5,task_daily_304_desc
305,attack_npccity,10,,,,,,2,10,task_daily_305_desc
306,attack_npccity,10,,,,,,3,15,task_daily_306_desc
307,attack_pass,10,,,,,,1,5,task_daily_307_desc
308,attack_pass,10,,,,,,2,10,task_daily_308_desc
309,attack_pass,10,,,,,,3,15,task_daily_309_desc
310,occupied_resource_times,11,,10,,,,1,5,task_daily_310_desc
311,occupied_resource_times,11,,10,,,,2,10,task_daily_311_desc
312,occupied_resource_times,11,,11,,,,1,10,task_daily_312_desc
313,occupied_resource_times,11,,11,,,,2,15,task_daily_313_desc
314,battle_win,11,,,,,,3,5,task_daily_314_desc
315,battle_win,11,,,,,,5,10,task_daily_315_desc
316,battle_win,11,,,,,,8,15,task_daily_316_desc
317,recruit,11,,,,,,18,5,task_daily_317_desc
318,recruit,11,,,,,,19,10,task_daily_318_desc
319,recruit_amount,11,,,1932000,,,,5,task_daily_319_desc
320,hero_levelup_times,11,,,,,,3,5,task_daily_320_desc
321,hero_levelup_times,11,,,,,,4,10,task_daily_321_desc
322,hero_levelup_times,11,,,,,,5,15,task_daily_322_desc
323,pvp_times,11,,,,,,1,5,task_daily_323_desc
324,pvp_times,11,,,,,,2,10,task_daily_324_desc
325,pvp_times,11,,,,,,3,15,task_daily_325_desc
326,building_levelup_times,11,,,,,,1,5,task_daily_326_desc
327,building_levelup_times,11,,,,,,2,10,task_daily_327_desc
328,building_levelup_times,11,,,,,,3,15,task_daily_328_desc
329,resource_produce,11,steel,,,,400,,5,task_daily_329_desc
330,resource_produce,11,steel,,,,800,,10,task_daily_330_desc
331,resource_produce,11,steel,,,,1200,,15,task_daily_331_desc
332,force,11,,,,460,,,5,task_daily_332_desc
333,force,11,,,,560,,,10,task_daily_333_desc
334,force,11,,,,650,,,15,task_daily_334_desc
335,get_tribute_times,11,,,,,,1,5,task_daily_335_desc
336,get_tribute_times,11,,,,,,2,10,task_daily_336_desc
337,get_tribute_times,11,,,,,,4,15,task_daily_337_desc
338,gold_totalamount,11,,,2500,,,,5,task_daily_338_desc
339,gold_totalamount,11,,,4900,,,,10,task_daily_339_desc
340,gold_totalamount,11,,,8200,,,,15,task_daily_340_desc
341,resource_revoke,11,,,1,,,,5,task_daily_341_desc
342,resource_revoke,11,,,2,,,,10,task_daily_342_desc
343,resource_revoke,11,,,4,,,,15,task_daily_343_desc
344,attack_npccity,11,,,,,,1,5,task_daily_344_desc
345,attack_npccity,11,,,,,,2,10,task_daily_345_desc
346,attack_npccity,11,,,,,,3,15,task_daily_346_desc
347,attack_pass,11,,,,,,1,5,task_daily_347_desc
348,attack_pass,11,,,,,,2,10,task_daily_348_desc
349,attack_pass,11,,,,,,3,15,task_daily_349_desc
350,occupied_resource_times,12,,11,,,,1,5,task_daily_350_desc
351,occupied_resource_times,12,,11,,,,2,10,task_daily_351_desc
352,occupied_resource_times,12,,12,,,,1,10,task_daily_352_desc
353,battle_win,12,,,,,,3,5,task_daily_353_desc
354,battle_win,12,,,,,,5,10,task_daily_354_desc
355,battle_win,12,,,,,,8,15,task_daily_355_desc
356,recruit,12,,,,,,20,5,task_daily_356_desc
357,recruit,12,,,,,,21,10,task_daily_357_desc
358,recruit_amount,12,,,2880000,,,,5,task_daily_358_desc
359,hero_levelup_times,12,,,,,,3,5,task_daily_359_desc
360,hero_levelup_times,12,,,,,,4,10,task_daily_360_desc
361,hero_levelup_times,12,,,,,,5,15,task_daily_361_desc
362,pvp_times,12,,,,,,1,5,task_daily_362_desc
363,pvp_times,12,,,,,,2,10,task_daily_363_desc
364,pvp_times,12,,,,,,3,15,task_daily_364_desc
365,building_levelup_times,12,,,,,,1,5,task_daily_365_desc
366,building_levelup_times,12,,,,,,2,10,task_daily_366_desc
367,building_levelup_times,12,,,,,,3,15,task_daily_367_desc
368,resource_produce,12,marble,,,,400,,5,task_daily_368_desc
369,resource_produce,12,lumber,,,,800,,10,task_daily_369_desc
370,resource_produce,12,steel,,,,1200,,15,task_daily_370_desc
371,force,12,,,,480,,,5,task_daily_371_desc
372,force,12,,,,570,,,10,task_daily_372_desc
373,force,12,,,,670,,,15,task_daily_373_desc
374,get_tribute_times,12,,,,,,1,5,task_daily_374_desc
375,get_tribute_times,12,,,,,,2,10,task_daily_375_desc
376,get_tribute_times,12,,,,,,4,15,task_daily_376_desc
377,gold_totalamount,12,,,3800,,,,5,task_daily_377_desc
378,gold_totalamount,12,,,7600,,,,10,task_daily_378_desc
379,gold_totalamount,12,,,12700,,,,15,task_daily_379_desc
380,resource_revoke,12,,,1,,,,5,task_daily_380_desc
381,resource_revoke,12,,,2,,,,10,task_daily_381_desc
382,resource_revoke,12,,,4,,,,15,task_daily_382_desc
383,attack_npccity,12,,,,,,1,5,task_daily_383_desc
384,attack_npccity,12,,,,,,2,10,task_daily_384_desc
385,attack_npccity,12,,,,,,3,15,task_daily_385_desc
386,attack_pass,12,,,,,,1,5,task_daily_386_desc
387,attack_pass,12,,,,,,2,10,task_daily_387_desc
388,attack_pass,12,,,,,,3,15,task_daily_388_desc
