rarity,level,level_up_percent,fragments,level_gold
3,46,630.4,1000,200000
3,47,670.4,1000,300000
3,48,710.4,1000,400000
3,49,750.4,1000,500000
3,50,790.4,2000,600000
3,51,830.4,2000,700000
3,52,870.4,2000,800000
3,53,910.4,2000,900000
3,54,950.4,2000,1000000
3,55,990.4,5000,1100000
3,56,1030.4,5000,1200000
3,57,1070.4,5000,1300000
3,58,1110.4,5000,1400000
3,59,1150.4,5000,1500000
3,60,1190.4,0,0
4,1,0,1,2700
4,2,7.2,2,3000
4,3,14.4,2,3300
4,4,21.6,2,3600
4,5,28.8,4,4200
4,6,38.8,4,4800
4,7,48.8,4,5400
4,8,58.8,4,6000
4,9,68.8,4,6750
4,10,78.8,10,7500
4,11,96.8,10,8250
4,12,114.8,10,9000
4,13,132.8,10,9750
4,14,150.8,10,10500
4,15,168.8,20,12000
4,16,188.8,20,13500
4,17,208.8,20,15000
4,18,228.8,20,16500
4,19,248.8,20,18000
4,20,268.8,50,22500
4,21,292.8,50,27000
4,22,316.8,50,30000
4,23,340.8,50,36000
4,24,364.8,50,45000
4,25,388.8,100,60000
4,26,416.8,100,75000
4,27,444.8,100,90000
4,28,472.8,100,105000
4,29,500.8,100,120000
4,30,528.8,200,150000
4,31,568.8,200,300000
4,32,608.8,200,450000
4,33,648.8,200,600000
4,34,688.8,200,750000
4,35,728.8,400,900000
4,36,768.8,400,1050000
4,37,808.8,400,1200000
4,38,848.8,400,1350000
4,39,888.8,400,1500000
4,40,928.8,800,1650000
4,41,968.8,800,1800000
4,42,1008.8,800,1950000
4,43,1048.8,800,2100000
4,44,1088.8,800,2250000
4,45,1128.8,0,0
5,1,0,1,3600
5,2,20,2,4000
5,3,40,2,4400
5,4,60,2,4800
5,5,80,4,5600
5,6,104,4,6400
5,7,128,4,7200
5,8,152,4,8000
5,9,176,4,9000
5,10,200,10,10000
5,11,228,10,11000
5,12,256,10,12000
5,13,284,10,13000
5,14,312,10,14000
5,15,340,20,16000
5,16,380,20,18000
5,17,420,20,20000
5,18,460,20,22000
5,19,500,20,24000
5,20,540,50,30000
5,21,580,50,36000
5,22,620,50,40000
5,23,660,50,48000
5,24,700,50,60000
5,25,740,100,80000
5,26,780,100,100000
5,27,820,100,120000
5,28,860,100,140000
5,29,900,100,160000
5,30,940,0,0
