id,level,type,name,race,tribute_gold_buff,tribute_gold_buff_bonus,alliance_tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"3,6,202,1",4,normal,nemduhr_center,dwarf,0,2,24,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"3,6,202,0",4,normal,nemduhr_outside,dwarf,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,8,200,1",7,zone_capital,rochdale_center,raider,0,2,48,0,282000,282000,282000,282000,0,9000,0,0,0.3,315000,0,720300,m,6860,1303812,75
"4,8,200,0",7,zone_capital,rochdale_outside,raider,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"4,8,201,1",4,normal,calcheth_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"4,8,201,0",4,normal,calcheth_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,8,202,1",6,normal,kirn_todur_center,dwarf,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"4,8,202,0",6,normal,kirn_todur_outside,dwarf,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"4,8,203,1",5,normal,hil_furum_center,dwarf,0,2,30,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"4,8,203,0",5,normal,hil_furum_outside,dwarf,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"4,8,204,1",4,normal,strathmore_center,raider,0,2,24,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"4,8,204,0",4,normal,strathmore_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,7,200,1",7,zone_capital,kald_center,raider,0,2,48,0,282000,282000,282000,282000,0,6750,0,2250,0.3,315000,0,720300,m,6860,1303812,75
"4,7,200,0",7,zone_capital,kald_outside,raider,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"4,7,201,1",6,normal,isyrenthas_center,elf,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"4,7,201,0",6,normal,isyrenthas_outside,elf,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"4,7,202,1",4,normal,narfolk_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"4,7,202,0",4,normal,narfolk_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,7,203,1",5,normal,shepshed_center,raider,0,2,30,0,144000,144000,144000,144000,0,0,2700,900,0,78000,0,187500,s,1250,551808,60
"4,7,203,0",5,normal,shepshed_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"4,7,204,1",4,normal,inanatalos_center,elf,0,2,24,0,72000,72000,72000,72000,0,0,0,2880,0,19000,0,76800,s,640,361548,53
"4,7,204,0",4,normal,inanatalos_outside,elf,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,1,200,1",8,zone_capital,blaenau_center,raider,0,2.5,60,0,372000,372000,372000,372000,4860,4860,0,0,0.3,381000,0,1228800,m,10240,2336868,83
"4,1,200,0",8,zone_capital,blaenau_outside,raider,50,0,0,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"4,1,201,1",4,normal,dalmellington_center,raider,0,2,24,0,72000,72000,72000,72000,2310,0,0,580,0,19000,0,76800,s,640,361548,53
"4,1,201,0",4,normal,dalmellington_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"4,1,202,1",5,normal,kamtoduhr_center,dwarf,0,2,30,0,144000,144000,144000,144000,0,0,2520,1080,0,78000,0,187500,s,1250,551808,60
"4,1,202,0",5,normal,kamtoduhr_outside,dwarf,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"4,2,200,1",10,region_capital,ironhaven_center,elf,0,2.5,84,0,576000,576000,576000,576000,0,11880,0,0,0.3,864000,0,3000000,l,50000,4144788,98
"4,2,200,0",10,region_capital,ironhaven_outside,elf,70,0,0,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"4,2,201,1",6,normal,northbury_center,raider,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"4,2,201,0",6,normal,northbury_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"4,2,202,1",5,normal,herrim_center,dwarf,0,2,30,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"4,2,202,0",5,normal,herrim_outside,dwarf,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
