level,rarity,type,gold,food,lumber,marble,steel,crystal,duration
6,3,scissors,0,1.5,0.48,0.72,0.48,0,0.08
6,3,rock,0,1.5,0.72,0.48,0.48,0,0.08
7,3,paper,0,1.5,0.48,0.48,0.72,0,0.08
7,3,scissors,0,1.5,0.48,0.72,0.48,0,0.08
7,3,rock,0,1.5,0.72,0.48,0.48,0,0.08
8,3,paper,0,1.5,0.48,0.48,0.72,0,0.08
8,3,scissors,0,1.5,0.48,0.72,0.48,0,0.08
8,3,rock,0,1.5,0.72,0.48,0.48,0,0.08
9,3,paper,0,1.5,0.48,0.48,0.72,0,0.08
9,3,scissors,0,1.5,0.48,0.72,0.48,0,0.08
9,3,rock,0,1.5,0.72,0.48,0.48,0,0.08
10,3,paper,0,1.5,0.48,0.48,0.72,0,0.08
10,3,scissors,0,1.5,0.48,0.72,0.48,0,0.08
10,3,rock,0,1.5,0.72,0.48,0.48,0,0.08
11,3,paper,0,1.25,0.4,0.4,0.6,0,0.08
11,3,scissors,0,1.25,0.4,0.6,0.4,0,0.08
11,3,rock,0,1.25,0.6,0.4,0.4,0,0.08
12,3,paper,0,1.25,0.4,0.4,0.6,0,0.08
12,3,scissors,0,1.25,0.4,0.6,0.4,0,0.08
12,3,rock,0,1.25,0.6,0.4,0.4,0,0.08
13,3,paper,0,1.25,0.4,0.4,0.6,0,0.08
13,3,scissors,0,1.25,0.4,0.6,0.4,0,0.08
13,3,rock,0,1.25,0.6,0.4,0.4,0,0.08
14,3,paper,0,1.25,0.4,0.4,0.6,0,0.08
14,3,scissors,0,1.25,0.4,0.6,0.4,0,0.08
14,3,rock,0,1.25,0.6,0.4,0.4,0,0.08
15,3,paper,0,1.25,0.4,0.4,0.6,0,0.08
15,3,scissors,0,1.25,0.4,0.6,0.4,0,0.08
15,3,rock,0,1.25,0.6,0.4,0.4,0,0.08
16,3,paper,0,1.1,0.35,0.35,0.53,0,0.08
16,3,scissors,0,1.1,0.35,0.53,0.35,0,0.08
16,3,rock,0,1.1,0.53,0.35,0.35,0,0.08
17,3,paper,0,1.1,0.35,0.35,0.53,0,0.08
17,3,scissors,0,1.1,0.35,0.53,0.35,0,0.08
17,3,rock,0,1.1,0.53,0.35,0.35,0,0.08
18,3,paper,0,1.1,0.35,0.35,0.53,0,0.08
18,3,scissors,0,1.1,0.35,0.53,0.35,0,0.08
18,3,rock,0,1.1,0.53,0.35,0.35,0,0.08
19,3,paper,0,1.1,0.35,0.35,0.53,0,0.08
19,3,scissors,0,1.1,0.35,0.53,0.35,0,0.08
19,3,rock,0,1.1,0.53,0.35,0.35,0,0.08
20,3,paper,0,1.1,0.35,0.35,0.53,0,0.08
20,3,scissors,0,1.1,0.35,0.53,0.35,0,0.08
20,3,rock,0,1.1,0.53,0.35,0.35,0,0.08
21,3,paper,0,1,0.32,0.32,0.48,0,0.08
21,3,scissors,0,1,0.32,0.48,0.32,0,0.08
21,3,rock,0,1,0.48,0.32,0.32,0,0.08
22,3,paper,0,1,0.32,0.32,0.48,0,0.08
22,3,scissors,0,1,0.32,0.48,0.32,0,0.08
22,3,rock,0,1,0.48,0.32,0.32,0,0.08
23,3,paper,0,1,0.32,0.32,0.48,0,0.08
23,3,scissors,0,1,0.32,0.48,0.32,0,0.08
23,3,rock,0,1,0.48,0.32,0.32,0,0.08
24,3,paper,0,1,0.32,0.32,0.48,0,0.08
24,3,scissors,0,1,0.32,0.48,0.32,0,0.08
24,3,rock,0,1,0.48,0.32,0.32,0,0.08
25,3,paper,0,1,0.32,0.32,0.48,0,0.08
25,3,scissors,0,1,0.32,0.48,0.32,0,0.08
25,3,rock,0,1,0.48,0.32,0.32,0,0.08
26,3,paper,0,0.8,0.26,0.26,0.38,0,0.08
26,3,scissors,0,0.8,0.26,0.38,0.26,0,0.08
26,3,rock,0,0.8,0.38,0.26,0.26,0,0.08
27,3,paper,0,0.8,0.26,0.26,0.38,0,0.08
27,3,scissors,0,0.8,0.26,0.38,0.26,0,0.08
