id,level,type,name,race,tribute_gold_buff,tribute_gold_buff_bonus,alliance_tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"6,3,202,0",5,normal,omasari_outside,elf,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"6,4,200,1",7,zone_capital,peterborough_center,raider,0,2,48,0,282000,282000,282000,282000,1800,7200,0,0,0.3,315000,0,720300,m,6860,1303812,75
"6,4,200,0",7,zone_capital,peterborough_outside,raider,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"6,4,201,1",4,normal,pitmerden_center,raider,0,2,24,0,72000,72000,72000,72000,580,0,0,2310,0,19000,0,76800,s,640,361548,53
"6,4,201,0",4,normal,pitmerden_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"6,4,202,1",6,normal,omalon_center,elf,0,2,36,0,216000,216000,216000,216000,2160,0,2160,0,0,135000,0,388800,s,2160,825588,68
"6,4,202,0",6,normal,omalon_outside,elf,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"6,5,200,1",8,zone_capital,dundee_center,raider,0,2.5,60,0,372000,372000,372000,372000,2430,0,0,7290,0.3,381000,0,1228800,m,10240,2336868,83
"6,5,200,0",8,zone_capital,dundee_outside,raider,50,0,0,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"6,5,201,1",5,normal,paendley_center,raider,0,2,30,0,144000,144000,144000,144000,2880,720,0,0,0,78000,0,187500,s,1250,551808,60
"6,5,201,0",5,normal,paendley_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"6,5,202,1",4,normal,chaepstow_center,raider,0,2,24,0,72000,72000,72000,72000,0,1440,1440,0,0,19000,0,76800,s,640,361548,53
"6,5,202,0",4,normal,chaepstow_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"6,6,200,1",7,zone_capital,ashana_alari_center,elf,0,2,48,0,282000,282000,282000,282000,2700,6300,0,0,0.3,315000,0,720300,m,6860,1303812,75
"6,6,200,0",7,zone_capital,ashana_alari_outside,elf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"6,6,201,1",6,normal,rym_ennore_center,elf,0,2,36,0,216000,216000,216000,216000,3460,0,870,0,0,135000,0,388800,s,2160,825588,68
"6,6,201,0",6,normal,rym_ennore_outside,elf,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"6,6,202,1",4,normal,farnfoss_center,raider,0,2,24,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"6,6,202,0",4,normal,farnfoss_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"7,8,200,1",7,zone_capital,fynnoris_center,elf,0,2,48,0,282000,282000,282000,282000,0,9000,0,0,0.3,315000,0,720300,m,6860,1303812,75
"7,8,200,0",7,zone_capital,fynnoris_outside,elf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"7,8,201,1",5,normal,dumbarton_center,raider,0,2,30,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"7,8,201,0",5,normal,dumbarton_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"7,8,202,1",4,normal,penrith_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"7,8,202,0",4,normal,penrith_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"7,8,203,1",6,normal,aenthalas_center,elf,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"7,8,203,0",6,normal,aenthalas_outside,elf,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"7,8,204,1",4,normal,ballinamallard_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"7,8,204,0",4,normal,ballinamallard_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"7,7,200,1",7,zone_capital,yaena_themar_center,elf,0,2,48,0,282000,282000,282000,282000,0,6750,0,2250,0.3,315000,0,720300,m,6860,1303812,75
"7,7,200,0",7,zone_capital,yaena_themar_outside,elf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"7,7,201,1",4,normal,lerwick_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"7,7,201,0",4,normal,lerwick_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
